ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5
91902_00000_263396,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region I,"Bauer, Paul A.","Harary, Jordan I.","Kohlhaas, Scott A.",skipped,skipped
93600_00032_000001,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Gray, Andrew T.","Kohlhaas, Scott A.",skipped,skipped,skipped
93600_00032_000002,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Gray, Andrew T.",skipped,skipped,skipped,skipped
93600_00032_000003,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Gray, Andrew T.","Kohlhaas, Scott A.","Harary, Jordan I.","Bauer, Paul A.",skipped
93600_00032_000004,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Bauer, Paul A.",skipped,skipped,skipped,skipped
93600_00032_000005,Ballot 21 - Type 21,Early Voting,Judicial District 3,Judicial,District 20 - Early Voting,District 20 - Early Voting,Region III,"Kohlhaas, Scott A.",skipped,skipped,skipped,skipped
92607_00012_000001,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000002,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000003,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000004,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000005,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000006,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000007,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000008,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000009,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000010,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000011,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000012,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000013,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000014,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000015,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92607_00012_000016,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000001,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000002,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000003,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000004,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000005,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000006,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000007,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000008,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000009,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000010,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000011,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000012,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000013,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000014,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92506_00012_000015,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00019_000001,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000001,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000002,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000003,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000004,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000005,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000006,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000007,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000008,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000009,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000010,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000011,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000012,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000013,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000014,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000015,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000016,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000017,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000018,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000019,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000020,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
92403_00018_000021,Ballot 21 - Type 21,Question,Judicial District 3,Judicial,District 20  - Question,District 20  - Question,Region II,skipped,skipped,skipped,skipped,skipped
