ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
93600_00031_000001,Ballot 20 - Type 20,Early Voting,Judicial District 3,Judicial,District 19 - Early Voting,District 19 - Early Voting,Region III,"Mina, Genevieve G.","Wyatt, Russell O.",skipped
93600_00031_000002,Ballot 20 - Type 20,Early Voting,Judicial District 3,Judicial,District 19 - Early Voting,District 19 - Early Voting,Region III,"Wyatt, Russell O.","Mina, Genevieve G.",skipped
92607_00011_000001,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92607_00011_000002,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92607_00011_000003,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92607_00011_000004,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92607_00011_000005,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92607_00011_000006,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92607_00011_000007,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92506_00011_000001,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92506_00011_000002,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92506_00011_000003,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92506_00011_000004,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,overvote
92506_00011_000005,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92506_00011_000006,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00016_000001,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000001,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000002,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000003,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000004,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000005,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000006,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000007,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000008,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000009,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000010,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000011,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000012,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000013,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000014,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000015,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000016,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000017,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000018,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000019,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000020,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000021,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000022,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000023,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000024,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000025,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000026,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000027,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
92403_00015_000028,Ballot 20 - Type 20,Question,Judicial District 3,Judicial,District 19  - Question,District 19  - Question,Region II,skipped,skipped,skipped
