ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2
91902_00000_830055,Ballot 40 - Type 40,Early Voting,Judicial District 3,Judicial,District 37 - Early Voting,District 37 - Early Voting - 1 ,Region I,"Edgmon, Bryce",skipped
91910_00000_447228,Ballot 40 - Type 40,Early Voting,Judicial District 3,Judicial,District 37 - Early Voting,District 37 - Early Voting - 1 ,Region I,"Edgmon, Bryce",skipped
37742_00000_506414,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-742 Port Heiden,37-742 Port Heiden,Region IV,"Edgmon, Bryce",skipped
37746_00000_023377,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_045984,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_051717,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_111557,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_187197,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_232128,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,skipped,skipped
37746_00000_290598,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,skipped,skipped
37746_00000_350751,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_365473,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,Write-in,"Edgmon, Bryce"
37746_00000_379803,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_431092,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_482101,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_493653,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_538000,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_597635,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_604270,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_666485,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_678865,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_705738,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,Write-in,skipped
37746_00000_769368,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,skipped,"Edgmon, Bryce"
37746_00000_772940,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_812699,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_889024,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_925419,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_949849,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37746_00000_953234,Ballot 41 - Type 41,Election Day,Judicial District 4,Judicial,37-746 Sleetmute,37-746 Sleetmute,Region IV,"Edgmon, Bryce",skipped
37716_00000_533983,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped
37716_00000_595063,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped
37716_00000_607552,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped
37716_00000_661233,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,"Edgmon, Bryce",skipped
37716_00000_673418,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-716 Egegik,37-716 Egegik,Region IV,skipped,skipped
37726_00000_005423,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-726 Lake Iliamna No. 1,37-726 Lake Iliamna No. 1,Region IV,Write-in,skipped
37726_00000_017985,Ballot 40 - Type 40,Election Day,Judicial District 3,Judicial,37-726 Lake Iliamna No. 1,37-726 Lake Iliamna No. 1,Region IV,"Edgmon, Bryce",skipped
