ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2
38818_00000_002025,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_020697,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_027558,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_041230,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_044774,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_058148,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_063539,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_075211,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_112847,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_118980,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_137309,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_186378,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_189467,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_191921,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_219942,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,Write-in,"McCormick, Conrad J. ""C.J."""
38818_00000_238488,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_285316,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,Write-in,"McCormick, Conrad J. ""C.J."""
38818_00000_297828,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_300122,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_321651,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,Write-in,"McCormick, Conrad J. ""C.J."""
38818_00000_343736,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_357099,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_364512,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_376273,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
38818_00000_417801,Ballot 42 - Type 42,Election Day,Judicial District 4,Judicial,38-818 Eek,38-818 Eek,Region IV,"McCormick, Conrad J. ""C.J.""",skipped
