ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2
91910_00000_885989,Ballot 35 - Type 35,Early Voting,Judicial District 4,Judicial,District 33 - Early Voting,District 33 - Early Voting,Region I,"Prax, Glenn M. ""Mike""",skipped
93207_00001_000001,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93207_00001_000002,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93206_00001_000001,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93206_00001_000002,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000001,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000002,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000003,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000004,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000005,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000006,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000007,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000008,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000009,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000010,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000011,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000012,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93203_00001_000013,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000001,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000002,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000003,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000004,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000005,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000006,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000007,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000008,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000009,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000010,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000011,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,Write-in,skipped
93100_00040_000012,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000013,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000014,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000015,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000016,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,Write-in,skipped
93100_00040_000017,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000018,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000019,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000020,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000021,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000022,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000023,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000024,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000025,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000026,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000027,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000028,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000029,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,skipped,skipped
93100_00040_000030,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000031,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000032,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000033,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
93100_00040_000034,Ballot 35 - Type 35,Absentee,Judicial District 4,Judicial,District 33 - Absentee,District 33 - Absentee,Region III,"Prax, Glenn M. ""Mike""",skipped
