ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2
91910_00000_306888,Ballot 45 - Type 45,Early Voting,Judicial District 2,Judicial,District 40 - Early Voting,District 40 - Early Voting,Region I,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_027347,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_029480,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_036312,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_041904,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_042860,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_055258,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_058717,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_098973,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_100162,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_115620,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_118557,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_164592,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_176253,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_183008,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_186197,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_201109,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_202065,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_216652,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_220647,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_244754,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,"Patkotak, Josiah B. ""Aullaqsruaq"""
40012_00000_263529,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_275291,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_284096,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_299518,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_322381,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_335350,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_338414,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_340966,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_359771,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_397844,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,Write-in,skipped
40012_00000_399985,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_401140,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_404027,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_419531,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,Write-in,skipped
40012_00000_463500,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_466694,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_475225,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_478759,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_485101,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_502041,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_513593,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_534050,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_560606,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_574732,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_581123,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_596635,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_602270,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_627363,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_639476,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_641948,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_658733,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_660485,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_674825,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_692886,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_712877,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_720472,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_737389,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_744802,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_752216,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_775940,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
40012_00000_789417,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,"Patkotak, Josiah B. ""Aullaqsruaq"""
40012_00000_791961,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,skipped,skipped
40012_00000_807003,Ballot 45 - Type 45,Election Day,Judicial District 2,Judicial,40-012 Buckland,40-012 Buckland,Region IV,"Patkotak, Josiah B. ""Aullaqsruaq""",skipped
