ic, 2.3290526315789473
mallows_001, 2.6133473684210524
mallows_01, 2.5622736842105263
mallows_05, 2.320757894736842
mallows_1, 2.0166315789473686
mallows_25, 1.3088
mallows_5, 0.9960000000000001
mallows_75, 1.6988631578947369
mallows_95, 2.2938526315789476
mallows_99, 2.343157894736842
mallows_999, 2.3501473684210525
spoc_conitzer, 2.351578947368421
walsh, 1.7273684210526317
sc, 1.4114947368421054
urn_01, 2.177684210526316
urn_02, 2.0854315789473685
urn_05, 1.876884210526316
urn_1, 1.7903578947368421
urn_2, 1.669642105263158
urn_5, 1.6101052631578947
5d_sphere, 2.2287578947368423
2d_sphere, 2.330778947368421
3d_sphere, 2.279157894736842
csp, 1.9387789473684212
1d_interval, 1.7601684210526316
2d_square, 1.635663157894737
3d_cube, 1.5139368421052632
5d_cube, 1.5421052631578949
10d_cube, 1.5859368421052633
20d_cube, 1.6978105263157897
