precinct,rank1,rank2,rank3
MINNEAPOLIS W-5 P-09,Kale Severson,skipped,skipped
MINNEAPOLIS W-5 P-03,Mike Talley Tate,Kale Severson,skipped
MINNEAPOLIS W-5 P-05,skipped,skipped,skipped
MINNEAPOLIS W-4 P-05,Kale Severson,Mike Talley Tate,skipped
MINNEAPOLIS W-5 P-09,Mike Talley Tate,Mike Talley Tate,Mike Talley Tate
MINNEAPOLIS W-3 P-11,Kale Severson,skipped,skipped
MINNEAPOLIS W-3 P-11,Mike Talley Tate,Kale Severson,skipped
MINNEAPOLIS W-3 P-11,skipped,skipped,skipped
MINNEAPOLIS W-4 P-07,Mike Talley Tate,Kale Severson,skipped
MINNEAPOLIS W-3 P-07,skipped,skipped,skipped
MINNEAPOLIS W-5 P-08,Kale Severson,Mike Talley Tate,skipped
MINNEAPOLIS W-4 P-01,Mike Talley Tate,skipped,skipped
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,skipped
MINNEAPOLIS W-4 P-03,Kale Severson,skipped,skipped
MINNEAPOLIS W-4 P-03,Mike Talley Tate,Kale Severson,skipped
MINNEAPOLIS W-3 P-07,skipped,skipped,skipped
MINNEAPOLIS W-5 P-04,Kale Severson,Mike Talley Tate,skipped
MINNEAPOLIS W-3 P-07,skipped,skipped,skipped
MINNEAPOLIS W-5 P-03,Mike Talley Tate,skipped,skipped
MINNEAPOLIS W-5 P-08,Kale Severson,Mike Talley Tate,skipped
MINNEAPOLIS W-5 P-6C,Kale Severson,Mike Talley Tate,writein
MINNEAPOLIS W-5 P-08,skipped,skipped,skipped
MINNEAPOLIS W-5 P-07,skipped,skipped,skipped
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,skipped
MINNEAPOLIS W-4 P-08,skipped,skipped,skipped
MINNEAPOLIS W-5 P-05,Kale Severson,Kale Severson,Kale Severson
MINNEAPOLIS W-4 P-06,Kale Severson,skipped,skipped
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,skipped
MINNEAPOLIS W-3 P-07,Kale Severson,skipped,skipped
MINNEAPOLIS W-3 P-11,skipped,skipped,skipped
