precinct,rank1,rank2,rank3
MINNEAPOLIS W-10 P-02,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-6 P-04,Jono Cowgill,skipped,skipped
MINNEAPOLIS W-10 P-08,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-7 P-08,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-7 P-07,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-3 P-08,Jono Cowgill,Tom Nordyke,skipped
MINNEAPOLIS W-3 P-09,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-3 P-12,skipped,skipped,skipped
MINNEAPOLIS W-6 P-09,Jono Cowgill,Tom Nordyke,skipped
MINNEAPOLIS W-7 P-02D,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-7 P-08,Jono Cowgill,skipped,skipped
MINNEAPOLIS W-3 P-12,Jono Cowgill,Tom Nordyke,skipped
MINNEAPOLIS W-6 P-09,Jono Cowgill,Tom Nordyke,skipped
MINNEAPOLIS W-10 P-07,Jono Cowgill,skipped,skipped
MINNEAPOLIS W-10 P-02,Jono Cowgill,skipped,skipped
MINNEAPOLIS W-7 P-08,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-7 P-08,skipped,skipped,skipped
MINNEAPOLIS W-7 P-05,skipped,skipped,skipped
MINNEAPOLIS W-3 P-12,skipped,skipped,skipped
MINNEAPOLIS W-3 P-09,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-3 P-09,Jono Cowgill,skipped,skipped
MINNEAPOLIS W-10 P-01,Jono Cowgill,Jono Cowgill,Jono Cowgill
MINNEAPOLIS W-7 P-08,Tom Nordyke,skipped,skipped
MINNEAPOLIS W-6 P-04,skipped,skipped,skipped
MINNEAPOLIS W-7 P-05,Jono Cowgill,Tom Nordyke,skipped
MINNEAPOLIS W-6 P-04,Jono Cowgill,skipped,skipped
MINNEAPOLIS W-6 P-09,Jono Cowgill,Tom Nordyke,skipped
MINNEAPOLIS W-7 P-06,Tom Nordyke,skipped,skipped
