precinct,rank1,rank2,rank3
MINNEAPOLIS W-8 P-03,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug
MINNEAPOLIS W-12 P-12,Bill Shroyer,Andrea Fahrenkrug,skipped
MINNEAPOLIS W-8 P-05,Steffanie Musich,Bill Shroyer,skipped
MINNEAPOLIS W-11 P-04,Bill Shroyer,Steffanie Musich,skipped
MINNEAPOLIS W-11 P-06,skipped,skipped,skipped
MINNEAPOLIS W-9 P-07,Steffanie Musich,Bill Shroyer,skipped
MINNEAPOLIS W-11 P-09,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer
MINNEAPOLIS W-12 P-02,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer
MINNEAPOLIS W-11 P-06,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-12 P-04,Bill Shroyer,Andrea Fahrenkrug,Steffanie Musich
MINNEAPOLIS W-8 P-08,Steffanie Musich,Bill Shroyer,skipped
MINNEAPOLIS W-11 P-10,skipped,skipped,skipped
MINNEAPOLIS W-12 P-12,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-12 P-09,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-11 P-05,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer
MINNEAPOLIS W-8 P-05,Andrea Fahrenkrug,skipped,skipped
MINNEAPOLIS W-12 P-10,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-8 P-05,Andrea Fahrenkrug,skipped,skipped
MINNEAPOLIS W-12 P-12,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-12 P-13,skipped,skipped,skipped
MINNEAPOLIS W-12 P-12,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-8 P-03,Bill Shroyer,skipped,skipped
MINNEAPOLIS W-8 P-05,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-8 P-05,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-11 P-04,Bill Shroyer,Andrea Fahrenkrug,skipped
MINNEAPOLIS W-8 P-08,Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer
MINNEAPOLIS W-8 P-04,skipped,skipped,skipped
MINNEAPOLIS W-11 P-10,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-11 P-04,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-11 P-05,Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug
MINNEAPOLIS W-11 P-08,skipped,skipped,skipped
MINNEAPOLIS W-12 P-12,Steffanie Musich,skipped,skipped
MINNEAPOLIS W-11 P-05,Bill Shroyer,Andrea Fahrenkrug,skipped
