precinct,rank1,rank2,rank3
MINNEAPOLIS W-6 P-03,skipped,skipped,skipped
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-03,AK Hassan,skipped,skipped
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,AK Hassan,skipped
MINNEAPOLIS W-6 P-05,AK Hassan,skipped,skipped
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,AK Hassan,skipped
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-2 P-02,AK Hassan,skipped,skipped
MINNEAPOLIS W-9 P-02,AK Hassan,skipped,skipped
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,Charles Exner
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-2 P-11,AK Hassan,Abdi Gurhan Mohamed,skipped
MINNEAPOLIS W-9 P-02,skipped,skipped,skipped
MINNEAPOLIS W-9 P-01,AK Hassan,Abdi Gurhan Mohamed,skipped
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-2 P-01,Charles Exner,AK Hassan,Abdi Gurhan Mohamed
MINNEAPOLIS W-2 P-11,AK Hassan,skipped,skipped
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed
MINNEAPOLIS W-9 P-03,AK Hassan,skipped,skipped
MINNEAPOLIS W-6 P-01,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-9 P-05,AK Hassan,skipped,skipped
MINNEAPOLIS W-9 P-02,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-06,skipped,skipped,skipped
MINNEAPOLIS W-12 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner
MINNEAPOLIS W-9 P-02,Charles Exner,writein,Abdi Gurhan Mohamed
MINNEAPOLIS W-6 P-03,AK Hassan,skipped,skipped
MINNEAPOLIS W-2 P-08,Charles Exner,Abdi Gurhan Mohamed,skipped
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-08,AK Hassan,skipped,skipped
MINNEAPOLIS W-6 P-03,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-6 P-03,AK Hassan,Abdi Gurhan Mohamed,Charles Exner
MINNEAPOLIS W-6 P-02,AK Hassan,skipped,skipped
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,Charles Exner,AK Hassan
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-2 P-08,AK Hassan,skipped,skipped
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-12 P-01,Charles Exner,AK Hassan,Abdi Gurhan Mohamed
MINNEAPOLIS W-12 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner
MINNEAPOLIS W-6 P-06,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-2 P-01,AK Hassan,Abdi Gurhan Mohamed,Charles Exner
MINNEAPOLIS W-6 P-06,AK Hassan,skipped,skipped
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner
MINNEAPOLIS W-6 P-06,AK Hassan,AK Hassan,AK Hassan
MINNEAPOLIS W-6 P-07,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-2 P-02,AK Hassan,Charles Exner,skipped
MINNEAPOLIS W-6 P-05,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-9 P-06,skipped,Abdi Gurhan Mohamed,skipped
MINNEAPOLIS W-6 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed,Abdi Gurhan Mohamed
MINNEAPOLIS W-6 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed
MINNEAPOLIS W-2 P-09,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped
MINNEAPOLIS W-6 P-02,Charles Exner,skipped,skipped
MINNEAPOLIS W-9 P-09,AK Hassan,skipped,skipped
