precincts,tally_type,ballotID,rank1,rank2,rank3
363100,Vote by Mail - 400C,000029138,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029139,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029140,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029141,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029142,SHANTHI GONZALES,skipped,skipped
363100,Vote by Mail - 400C,000029143,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029144,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029145,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029146,skipped,SHANTHI GONZALES,skipped
363100,Vote by Mail - 400C,000029147,SHANTHI GONZALES,skipped,skipped
363100,Vote by Mail - 400C,000029148,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029149,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029150,SHANTHI GONZALES,skipped,skipped
363100,Vote by Mail - 400C,000029151,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029152,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
361200,Vote by Mail - 400C,000032342,skipped,skipped,SHANTHI GONZALES
361200,Vote by Mail - 400C,000032343,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
361200,Vote by Mail - 400C,000032344,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
361200,Vote by Mail - 400C,000032345,skipped,skipped,skipped
361200,Vote by Mail - 400C,000032346,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
361200,Vote by Mail - 400C,000032347,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
