ic, 3.8169856704196516
mallows_001, 4.973776867963153
mallows_01, 4.901020982599795
mallows_05, 4.573805015353122
mallows_1, 4.144025076765609
mallows_25, 2.838416069600819
mallows_5, 1.285125383828045
mallows_75, 2.205747185261003
mallows_95, 3.5678147389969292
mallows_99, 3.796427840327533
mallows_999, 3.816972876151484
spoc_conitzer, 3.8162819856704195
walsh, 1.3743705220061413
sc, 2.002471852610031
urn_01, 3.3479631525076763
urn_02, 3.106606960081883
urn_05, 2.7876688843398156
urn_1, 2.551852610030706
urn_2, 2.346051688843398
urn_5, 2.6872517911975438
5d_sphere, 3.5864176049129988
2d_sphere, 3.8384953940634596
3d_sphere, 3.6613587512794266
csp, 2.7696187308085976
1d_interval, 2.8934288638689867
2d_square, 2.3296417604913
3d_cube, 2.3300383828045037
5d_cube, 2.165862333674514
10d_cube, 2.1695829068577277
20d_cube, 2.3530040941658137
