ballotID,precinctPortion,ballot_type,countingGroup,votingLocation,district,districtType,precinct,rank1,rank2,rank3,rank4,rank5
01004_00002_000605,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,ALEX SHARENKO,TIMOTHY W. CARTER,TERRY TAPLIN,CHERYL DAVILA,skipped
01004_00002_000599,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,ALEX SHARENKO,TERRY TAPLIN,CHERYL DAVILA,TIMOTHY W. CARTER,skipped
01004_00002_000444,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,ALEX SHARENKO,skipped,skipped,skipped,skipped
01004_00002_000326,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,ALEX SHARENKO,TERRY TAPLIN,TIMOTHY W. CARTER,skipped,skipped
01004_00002_000251,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,CHERYL DAVILA,ALEX SHARENKO,TERRY TAPLIN,TIMOTHY W. CARTER,skipped
01004_00002_000184,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,CHERYL DAVILA,skipped,skipped,skipped,skipped
01004_00002_000057,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,CHERYL DAVILA,ALEX SHARENKO,TERRY TAPLIN,TIMOTHY W. CARTER,skipped
01004_00002_000033,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,CHERYL DAVILA,TERRY TAPLIN,skipped,skipped,skipped
01004_00002_000582,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,TERRY TAPLIN,ALEX SHARENKO,skipped,skipped,skipped
01004_00002_000576,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,CHERYL DAVILA,ALEX SHARENKO,TIMOTHY W. CARTER,TERRY TAPLIN,skipped
01004_00002_000474,209200,BT4,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,209200,CHERYL DAVILA,skipped,skipped,skipped,skipped
