ballotID,precinctPortion,ballot_type,countingGroup,votingLocation,district,districtType,precinct,rank1,rank2,rank3,rank4,rank5
01003_00020_000686,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,DEBORAH MATTHEWS,skipped,skipped,skipped,skipped
01003_00020_000680,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,skipped,skipped,skipped,skipped
01003_00020_000607,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,DEBORAH MATTHEWS,ORLANDO MARTINEZ,skipped,skipped
01003_00020_000439,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,DEBORAH MATTHEWS,skipped,skipped,skipped
01003_00020_000030,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,DEBORAH MATTHEWS,ORLANDO MARTINEZ,skipped,skipped
01003_00020_000311,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,ORLANDO MARTINEZ,DEBORAH MATTHEWS,skipped,skipped
01003_00020_000305,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,ORLANDO MARTINEZ,DEBORAH MATTHEWS,skipped,skipped
01003_00020_000137,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,skipped,skipped,skipped,skipped
01003_00020_000096,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,skipped,skipped,skipped,skipped
01003_00020_000652,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,ORLANDO MARTINEZ,DEBORAH MATTHEWS,skipped,skipped
01003_00020_000650,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,skipped,skipped,skipped,skipped
01003_00020_000518,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,skipped,skipped,skipped,skipped,skipped
01003_00020_000433,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,DEBORAH MATTHEWS,skipped,skipped,skipped,skipped
01003_00020_000397,208800,BT5,Vote by Mail,Election Office,"AC Transit District, Ward #1",TRANSIT DISTRICTS 2,208800,BEN BARTLETT,DEBORAH MATTHEWS,ORLANDO MARTINEZ,skipped,skipped
