Precinct,rank1,rank2,rank3
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped
