precinct,rank1,rank2,rank3
2001-03-02,writein,skipped,skipped
2001-03-09,writein,Allen Kathir,skipped
2001-03-03,Jeffery Cobia,writein,Diane Hofstede
2001-03-04,Jeffery Cobia,writein,Diane Hofstede
2001-03-05,Jeffery Cobia,writein,Diane Hofstede
2001-03-04,Jeffery Cobia,writein,Allen Kathir
2001-03-03,Jeffery Cobia,writein,Raymond Wilson Rolfe
2001-03-04,Jeffery Cobia,writein,Raymond Wilson Rolfe
2001-03-05,Jeffery Cobia,writein,Raymond Wilson Rolfe
2001-03-03,Jeffery Cobia,writein,skipped
2001-03-04,Jeffery Cobia,writein,skipped
2001-03-07,Jeffery Cobia,writein,skipped
2001-03-08,Jeffery Cobia,writein,skipped
2001-03-08,Jeffery Cobia,writein,skipped
2001-03-02,Jeffery Cobia,Diane Hofstede,writein
2001-03-04,Jeffery Cobia,Diane Hofstede,writein
2001-03-06,Jeffery Cobia,Diane Hofstede,writein
2001-03-06,Jeffery Cobia,Diane Hofstede,writein
2001-03-07,Jeffery Cobia,Diane Hofstede,writein
2001-03-01,Jeffery Cobia,Diane Hofstede,Allen Kathir
2001-03-02,Jeffery Cobia,Diane Hofstede,Allen Kathir
2001-03-03,Jeffery Cobia,Diane Hofstede,Allen Kathir
2001-03-06,Jeffery Cobia,Diane Hofstede,Allen Kathir
2001-03-07,Jeffery Cobia,Diane Hofstede,Allen Kathir
2001-03-08,Jeffery Cobia,Diane Hofstede,Allen Kathir
2001-03-09,Jeffery Cobia,Diane Hofstede,Allen Kathir
2001-03-09,Jeffery Cobia,Diane Hofstede,Allen Kathir
2001-03-02,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe
2001-03-03,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe
2001-03-05,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe
2001-03-05,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe
2001-03-07,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe
2001-03-07,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe
2001-03-08,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe
2001-03-02,Jeffery Cobia,Diane Hofstede,skipped
2001-03-02,Jeffery Cobia,Diane Hofstede,skipped
2001-03-03,Jeffery Cobia,Diane Hofstede,skipped
2001-03-04,Jeffery Cobia,Diane Hofstede,skipped
