precinct,rank1,rank2,rank3
MINNEAPOLIS W-4 P-05,Stephanie Gasca,skipped,skipped
MINNEAPOLIS W-4 P-07,Dana Hansen,Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-03,Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,skipped,skipped
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-04,Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-02,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Dana Hansen
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,writein,Stephanie Gasca
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-05,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",skipped
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,Dana Hansen
MINNEAPOLIS W-4 P-04,Stephanie Gasca,Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Dana Hansen,skipped
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson","Barbara A. ""Barb"" Johnson","Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-08,Dana Hansen,skipped,skipped
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-03,Stephanie Gasca,Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson","Barbara A. ""Barb"" Johnson",skipped
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",skipped
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,skipped,skipped
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,Dana Hansen
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,Dana Hansen
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson","Barbara A. ""Barb"" Johnson","Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,skipped,skipped
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson"
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-05,Stephanie Gasca,skipped,skipped
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,skipped
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,Stephanie Gasca,Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-02,Stephanie Gasca,Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-02,Stephanie Gasca,Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-02,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",skipped
MINNEAPOLIS W-4 P-02,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Dana Hansen,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Dana Hansen
MINNEAPOLIS W-4 P-02,Stephanie Gasca,Phillipe M. Cunningham,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,Dana Hansen,writein,writein
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Dana Hansen
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Dana Hansen,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",writein,writein
MINNEAPOLIS W-4 P-02,Dana Hansen,Stephanie Gasca,Phillipe M. Cunningham
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca
MINNEAPOLIS W-4 P-02,skipped,skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
MINNEAPOLIS W-4 P-02,Phillipe M. Cunningham,skipped,skipped
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Dana Hansen
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",skipped,skipped
