,0,1,2,3,4,5,6,7,8,9,10,11,12
1,Write-In cells: 162,,,,,,,,,,,,
2,Overvote cells: 371,,,,,,,,,,,,
3,Bill Perkins: 0,,,,,,,,,,,,
4,William A. Allen: 1,,,,,,,,,,,,
5,Bernadette McNear: 2,,,,,,,,,,,,
6,Keith Taylor: 3,,,,,,,,,,,,
7,Athena Moore: 4,,,,,,,,,,,,
8,Billy Council: 5,,,,,,,,,,,,
9,Pierre A. Gooding: 6,,,,,,,,,,,,
10,Cordell Cleare: 7,,,,,,,,,,,,
11,Kristin Richardson Jordan: 8,,,,,,,,,,,,
12,Sheba T. Simpson-Amsterdam: 9,,,,,,,,,,,,
13,Ruth L. McDaniels: 10,,,,,,,,,,,,
14,Joshua Albert Clennon: 11,,,,,,,,,,,,
15,Mario Rosser: 12,,,,,,,,,,,,
17270,8,4.0,0.0,,,,,,,,,,
17525,11,8.0,12.0,4.0,9.0,,,,,,,,
17526,3,4.0,10.0,8.0,5.0,,,,,,,,
17527,8,,,,,,,,,,,,
17577,8,10.0,4.0,3.0,0.0,,,,,,,,
17578,12,,,,,,,,,,,,
17579,3,7.0,9.0,8.0,,,,,,,,,
17580,9,10.0,0.0,,,,,,,,,,
17581,1,3.0,0.0,8.0,6.0,,,,,,,,
17582,0,3.0,,,,,,,,,,,
17583,1,3.0,12.0,8.0,7.0,,,,,,,,
17584,1,8.0,12.0,,,,,,,,,,
17585,7,,,,,,,,,,,,
17586,1,0.0,,,,,,,,,,,
17587,7,9.0,4.0,5.0,12.0,,,,,,,,
17588,9,4.0,2.0,10.0,7.0,,,,,,,,
17589,11,8.0,0.0,5.0,,,,,,,,,
17590,5,8.0,3.0,9.0,2.0,,,,,,,,
17592,3,0.0,2.0,4.0,9.0,,,,,,,,
17593,8,4.0,10.0,3.0,12.0,,,,,,,,
17594,10,8.0,7.0,6.0,3.0,,,,,,,,
17595,8,6.0,7.0,12.0,3.0,,,,,,,,
17596,7,9.0,3.0,1.0,0.0,,,,,,,,
17638,0,12.0,1.0,2.0,7.0,,,,,,,,
17639,8,0.0,7.0,1.0,4.0,,,,,,,,
17640,11,8.0,1.0,10.0,,,,,,,,,
17641,8,4.0,10.0,9.0,11.0,,,,,,,,
17642,11,6.0,5.0,8.0,12.0,,,,,,,,
17643,11,8.0,12.0,10.0,,,,,,,,,
17644,0,8.0,3.0,6.0,1.0,,,,,,,,
17645,0,,,,,,,,,,,,
17646,0,3.0,10.0,8.0,4.0,,,,,,,,
17647,6,3.0,8.0,9.0,1.0,,,,,,,,
17648,0,9.0,8.0,10.0,5.0,,,,,,,,
17649,10,0.0,9.0,2.0,,,,,,,,,
17650,7,0.0,,,,,,,,,,,
17651,0,,,,,,,,,,,,
17652,0,,,,,,,,,,,,
17704,7,12.0,5.0,,,,,,,,,,
17705,0,3.0,,,,,,,,,,,
17706,1,0.0,4.0,7.0,10.0,,,,,,,,
17707,8,4.0,,,,,,,,,,,
17708,10,3.0,11.0,6.0,1.0,,,,,,,,
17709,3,2.0,11.0,9.0,8.0,,,,,,,,
17710,6,12.0,1.0,9.0,11.0,,,,,,,,
17711,5,,,,,,,,,,,,
17712,0,4.0,2.0,8.0,10.0,,,,,,,,
17713,8,3.0,7.0,10.0,,,,,,,,,
17714,8,3.0,7.0,10.0,,,,,,,,,
17715,9,2.0,10.0,8.0,4.0,,,,,,,,
17716,12,10.0,11.0,8.0,,,,,,,,,
17717,0,3.0,,,,,,,,,,,
17718,12,10.0,11.0,8.0,,,,,,,,,
17719,7,1.0,0.0,4.0,8.0,,,,,,,,
17720,0,8.0,,,,,,,,,,,
17721,2,4.0,6.0,9.0,8.0,,,,,,,,
17722,8,11.0,4.0,0.0,3.0,,,,,,,,
17723,3,4.0,10.0,0.0,11.0,,,,,,,,
17724,8,10.0,,,,,,,,,,,
17725,8,7.0,11.0,12.0,10.0,,,,,,,,
17726,8,9.0,4.0,2.0,10.0,,,,,,,,
17727,4,,,,,,,,,,,,
17728,11,4.0,7.0,,,,,,,,,,
17729,7,0.0,4.0,1.0,,,,,,,,,
17730,8,11.0,4.0,5.0,10.0,,,,,,,,
17731,6,,,,,,,,,,,,
17733,11,8.0,,,,,,,,,,,
17734,11,8.0,,,,,,,,,,,
17735,11,8.0,,,,,,,,,,,
17736,0,7.0,8.0,4.0,10.0,,,,,,,,
17737,11,8.0,,,,,,,,,,,
17738,11,8.0,,,,,,,,,,,
17739,4,10.0,9.0,3.0,1.0,,,,,,,,
17740,3,0.0,1.0,,,,,,,,,,
17769,8,,,,,,,,,,,,
17770,7,0.0,5.0,1.0,10.0,,,,,,,,
17771,0,7.0,10.0,3.0,5.0,,,,,,,,
17772,8,11.0,6.0,,,,,,,,,,
17773,1,8.0,2.0,,,,,,,,,,
17774,12,3.0,4.0,,,,,,,,,,
17775,1,12.0,11.0,4.0,8.0,,,,,,,,
17776,7,4.0,8.0,12.0,1.0,,,,,,,,
17777,1,10.0,4.0,,,,,,,,,,
17778,8,11.0,6.0,5.0,,,,,,,,,
17779,0,,,,,,,,,,,,
17780,10,,,,,,,,,,,,
17781,0,10.0,,,,,,,,,,,
17782,0,11.0,,,,,,,,,,,
17784,0,7.0,,,,,,,,,,,
17785,0,3.0,,,,,,,,,,,
17786,5,6.0,9.0,3.0,,,,,,,,,
17787,5,4.0,1.0,7.0,6.0,,,,,,,,
17789,0,11.0,,,,,,,,,,,
17790,4,1.0,10.0,,,,,,,,,,
17791,3,6.0,5.0,,,,,,,,,,
17792,8,7.0,11.0,4.0,,,,,,,,,
17793,2,10.0,0.0,9.0,4.0,,,,,,,,
17794,8,11.0,7.0,5.0,,,,,,,,,
17795,2,0.0,9.0,3.0,10.0,,,,,,,,
17804,7,5.0,0.0,9.0,8.0,,,,,,,,
17805,8,12.0,3.0,6.0,5.0,,,,,,,,
17807,6,8.0,3.0,1.0,0.0,,,,,,,,
17808,9,,,,,,,,,,,,
17810,7,4.0,8.0,1.0,6.0,,,,,,,,
17811,8,11.0,,,,,,,,,,,
17812,7,4.0,11.0,8.0,12.0,,,,,,,,
17813,7,4.0,11.0,8.0,,,,,,,,,
17814,4,2.0,10.0,3.0,9.0,,,,,,,,
17815,0,12.0,3.0,11.0,8.0,,,,,,,,
17816,8,12.0,7.0,,,,,,,,,,
17817,0,12.0,3.0,6.0,5.0,,,,,,,,
17818,0,,,,,,,,,,,,
17819,8,1.0,3.0,4.0,6.0,,,,,,,,
17820,0,,,,,,,,,,,,
17821,8,0.0,4.0,,,,,,,,,,
17822,7,9.0,5.0,1.0,6.0,,,,,,,,
17823,3,7.0,4.0,1.0,10.0,,,,,,,,
17824,4,12.0,11.0,3.0,,,,,,,,,
17825,12,7.0,4.0,,,,,,,,,,
17826,7,8.0,3.0,4.0,1.0,,,,,,,,
17827,0,3.0,2.0,4.0,9.0,,,,,,,,
17828,2,1.0,7.0,,,,,,,,,,
17829,0,3.0,2.0,9.0,4.0,,,,,,,,
17830,7,6.0,3.0,,,,,,,,,,
17887,0,1.0,,,,,,,,,,,
17900,4,2.0,9.0,5.0,,,,,,,,,
17901,1,6.0,7.0,4.0,11.0,,,,,,,,
17902,8,11.0,7.0,6.0,4.0,,,,,,,,
17903,12,3.0,0.0,4.0,2.0,,,,,,,,
17904,8,7.0,4.0,,,,,,,,,,
17905,12,0.0,7.0,,,,,,,,,,
17906,11,6.0,12.0,,,,,,,,,,
