,0,1,2,3
1,Write-In cells: 464,,,
2,Overvote cells: 95,,,
3,Jennifer Gutierrez: 0,,,
4,Andy J. Marte: 1,,,
5,Scott Murphy: 2,,,
6,Lutchi Gayot: 3,,,
6281,0,2.0,1.0,3.0
6283,0,,,
6284,0,,,
6285,0,2.0,1.0,3.0
6287,0,1.0,,
6288,0,3.0,,
6289,0,2.0,1.0,3.0
6290,0,,,
6291,0,,,
6292,0,2.0,,
6293,0,,,
6294,0,2.0,,
6297,0,,,
6298,0,,,
6299,0,2.0,1.0,3.0
6300,0,3.0,2.0,1.0
6301,0,3.0,2.0,1.0
6302,0,2.0,1.0,3.0
6303,0,2.0,,
6304,0,1.0,2.0,3.0
6305,0,,,
6306,0,2.0,3.0,
6307,2,3.0,0.0,1.0
6459,0,2.0,3.0,1.0
6460,0,1.0,2.0,3.0
6461,0,1.0,2.0,
6462,2,0.0,3.0,1.0
6463,2,1.0,3.0,
6604,0,2.0,,
6605,0,,,
6606,0,,,
6607,2,1.0,0.0,3.0
6608,0,2.0,1.0,
6609,0,2.0,3.0,1.0
6610,0,3.0,2.0,1.0
6611,1,2.0,3.0,0.0
6612,2,0.0,3.0,1.0
6834,0,3.0,1.0,2.0
6836,0,,,
6875,0,1.0,2.0,3.0
6876,0,2.0,1.0,3.0
6877,0,3.0,2.0,1.0
7004,0,3.0,,
7005,3,0.0,2.0,1.0
7006,2,,,
7007,0,,,
7008,0,3.0,,
7009,2,0.0,,
7010,0,,,
7011,0,1.0,,
7012,0,2.0,,
7013,0,2.0,,
7014,0,,,
7015,0,3.0,1.0,2.0
7016,0,,,
7017,0,,,
7218,3,1.0,0.0,2.0
7219,1,,,
7439,0,3.0,,
7440,0,3.0,2.0,1.0
7441,0,,,
7442,0,,,
7443,0,,,
7444,0,,,
7445,0,,,
7446,0,,,
7500,0,3.0,1.0,2.0
7501,2,,,
7502,0,,,
7503,0,,,
7504,0,2.0,,
7505,0,2.0,,
7506,0,2.0,3.0,
7507,0,1.0,3.0,2.0
7509,0,3.0,1.0,2.0
7510,0,1.0,3.0,2.0
7511,0,3.0,1.0,2.0
7512,0,,,
7664,0,1.0,2.0,3.0
7665,0,2.0,1.0,
7666,0,,,
7732,0,,,
7733,0,2.0,1.0,3.0
7734,0,,,
7735,0,,,
7736,0,,,
7737,0,2.0,3.0,1.0
7738,0,,,
7948,0,,,
7949,0,,,
7950,0,1.0,2.0,3.0
7951,0,2.0,,
7952,0,,,
7953,2,,,
7954,2,0.0,1.0,3.0
7955,1,0.0,,
7956,0,,,
7957,0,3.0,,
7958,0,,,
8018,0,3.0,,
8019,1,,,
8020,3,0.0,1.0,
8022,0,2.0,1.0,3.0
8023,0,,,
8024,0,2.0,1.0,3.0
8025,2,0.0,1.0,3.0
8026,2,0.0,1.0,3.0
8028,0,,,
8029,0,2.0,3.0,
8030,3,,,
8031,1,3.0,0.0,2.0
8032,0,,,
8033,0,3.0,1.0,2.0
8034,0,,,
8035,0,2.0,3.0,
8036,1,2.0,0.0,
8037,0,,,
8038,2,1.0,3.0,0.0
8309,1,,,
8310,2,,,
8311,0,,,
8312,0,3.0,1.0,2.0
8313,0,,,
8314,0,,,
8461,0,3.0,2.0,1.0
8462,1,,,
8463,0,2.0,,
8671,0,,,
8672,0,,,
8673,0,2.0,,
8674,0,,,
8675,0,3.0,,
8676,0,,,
8677,0,,,
8678,0,2.0,,
