,0,1,2,3,4,5
1,Write-In cells: 317,,,,,
2,Overvote cells: 133,,,,,
3,Leslie Boghosian Murphy: 0,,,,,
4,Aleta A. LaFargue: 1,,,,,
5,Erik D. Bottcher: 2,,,,,
6,Phelan D. Fitzpatrick: 3,,,,,
7,Marni Halasa: 4,,,,,
8,Arthur Z. Schwartz: 5,,,,,
2301,2,,,,,
2487,0,,,,,
2488,2,,,,,
2489,2,3.0,,,,
2490,0,,,,,
2491,1,4.0,,,,
2492,5,2.0,3.0,1.0,4.0,
2493,2,0.0,,,,
2494,2,,,,,
2495,2,,,,,
2496,5,2.0,0.0,3.0,4.0,
2497,1,2.0,0.0,,,
2498,2,,,,,
2499,2,5.0,,,,
2501,1,3.0,4.0,,,
2502,2,5.0,,,,
2505,0,2.0,1.0,4.0,5.0,
2506,4,5.0,3.0,,,
2507,2,1.0,5.0,,,
2508,2,5.0,1.0,0.0,3.0,
2509,2,5.0,,,,
2567,3,4.0,1.0,2.0,0.0,
2568,3,4.0,1.0,0.0,2.0,
2641,2,,,,,
2642,2,,,,,
2643,5,,,,,
2644,2,5.0,0.0,,,
2645,2,,,,,
2646,2,1.0,,,,
2648,0,4.0,2.0,1.0,5.0,
2649,2,,,,,
2650,2,5.0,,,,
2652,2,,,,,
2653,5,,,,,
2654,0,4.0,1.0,5.0,2.0,
2656,5,3.0,4.0,0.0,,
2658,0,,,,,
2659,2,1.0,,,,
2660,5,2.0,,,,
2662,4,,,,,
2663,2,0.0,5.0,,,
2665,2,,,,,
2666,2,0.0,5.0,3.0,1.0,
2667,5,0.0,,,,
2668,2,5.0,0.0,3.0,4.0,
2669,5,1.0,0.0,,,
2670,2,,,,,
2671,2,3.0,0.0,1.0,5.0,
2672,2,,,,,
2673,4,2.0,1.0,,,
2675,5,0.0,2.0,4.0,3.0,
2678,2,0.0,5.0,1.0,4.0,
2840,2,5.0,0.0,4.0,3.0,
2841,2,5.0,0.0,,,
2842,2,3.0,1.0,,,
2843,5,3.0,0.0,2.0,,
2844,2,,,,,
2845,2,5.0,0.0,1.0,3.0,
2846,1,2.0,5.0,3.0,0.0,
2847,5,4.0,,,,
2850,2,3.0,1.0,0.0,,
2852,0,2.0,1.0,3.0,5.0,
2853,2,,,,,
2854,0,4.0,1.0,,,
2855,2,,,,,
2856,2,,,,,
2857,2,,,,,
2858,0,4.0,3.0,5.0,1.0,
