,0,1,2,3,4,5,6,7,8,9,10
1,Write-In cells: 185,,,,,,,,,,
2,Overvote cells: 291,,,,,,,,,,
3,Rita C. Joseph: 0,,,,,,,,,,
4,Kenya Handy-Hilliard: 1,,,,,,,,,,
5,Cecilia Cortez: 2,,,,,,,,,,
6,Victor Jordan: 3,,,,,,,,,,
7,Edwin K. Raymond: 4,,,,,,,,,,
8,Josue Pierre: 5,,,,,,,,,,
9,Maxi Eugene: 6,,,,,,,,,,
10,Vivia M. Morgan: 7,,,,,,,,,,
11,John Williams: 8,,,,,,,,,,
12,Harriet L. Hines: 9,,,,,,,,,,
13,Blake Morris: 10,,,,,,,,,,
65056,0,2.0,5.0,,,,,,,,
65057,10,5.0,4.0,0.0,,,,,,,
65058,5,1.0,6.0,,,,,,,,
65059,0,,,,,,,,,,
65060,2,0.0,7.0,,,,,,,,
65062,10,8.0,,,,,,,,,
65063,0,2.0,5.0,10.0,,,,,,,
65064,5,,,,,,,,,,
65065,5,0.0,1.0,4.0,,,,,,,
65066,1,0.0,2.0,,,,,,,,
65067,1,4.0,10.0,,,,,,,,
65068,1,5.0,4.0,7.0,8.0,,,,,,
65069,0,1.0,,,,,,,,,
65070,1,4.0,0.0,,,,,,,,
65071,5,,,,,,,,,,
65072,6,5.0,4.0,,,,,,,,
65074,9,,,,,,,,,,
65075,1,8.0,7.0,9.0,10.0,,,,,,
65076,1,,,,,,,,,,
65077,0,2.0,1.0,,,,,,,,
65078,5,,,,,,,,,,
65079,5,0.0,4.0,,,,,,,,
65080,4,,,,,,,,,,
65082,10,,,,,,,,,,
65084,4,0.0,1.0,,,,,,,,
65085,0,2.0,4.0,,,,,,,,
65086,0,5.0,9.0,7.0,3.0,,,,,,
65087,5,1.0,0.0,,,,,,,,
65088,3,0.0,10.0,9.0,5.0,,,,,,
65089,2,1.0,7.0,,,,,,,,
65090,0,,,,,,,,,,
65091,1,4.0,2.0,0.0,5.0,,,,,,
65092,5,1.0,0.0,10.0,7.0,,,,,,
65093,1,0.0,5.0,7.0,4.0,,,,,,
65094,4,0.0,5.0,1.0,,,,,,,
65095,5,1.0,,,,,,,,,
65096,1,5.0,,,,,,,,,
65097,5,0.0,4.0,2.0,9.0,,,,,,
65098,9,1.0,6.0,3.0,7.0,,,,,,
65099,1,0.0,,,,,,,,,
65100,6,5.0,0.0,,,,,,,,
65101,0,1.0,,,,,,,,,
65102,5,6.0,1.0,4.0,8.0,,,,,,
65103,5,,,,,,,,,,
65104,9,3.0,5.0,4.0,2.0,,,,,,
65106,0,1.0,7.0,2.0,,,,,,,
65107,1,,,,,,,,,,
65108,1,5.0,0.0,10.0,9.0,,,,,,
65109,5,0.0,,,,,,,,,
65110,8,4.0,6.0,7.0,3.0,,,,,,
65111,0,5.0,2.0,,,,,,,,
65112,5,,,,,,,,,,
65113,1,5.0,0.0,,,,,,,,
65114,0,,,,,,,,,,
65115,0,4.0,1.0,,,,,,,,
65116,1,5.0,9.0,4.0,0.0,,,,,,
65117,1,0.0,4.0,10.0,,,,,,,
65118,2,0.0,3.0,6.0,1.0,,,,,,
65119,6,,,,,,,,,,
65120,5,0.0,6.0,1.0,,,,,,,
65121,2,,,,,,,,,,
65122,1,5.0,0.0,2.0,,,,,,,
65123,5,1.0,0.0,7.0,10.0,,,,,,
65124,0,1.0,,,,,,,,,
65125,0,9.0,6.0,3.0,10.0,,,,,,
65126,4,5.0,,,,,,,,,
65127,0,1.0,5.0,,,,,,,,
65128,5,6.0,10.0,,,,,,,,
65129,1,0.0,,,,,,,,,
65130,0,5.0,,,,,,,,,
65131,1,,,,,,,,,,
65132,6,,,,,,,,,,
65133,8,,,,,,,,,,
65134,0,1.0,6.0,9.0,8.0,,,,,,
65135,0,5.0,1.0,4.0,,,,,,,
65136,1,5.0,10.0,0.0,,,,,,,
65137,10,1.0,0.0,,,,,,,,
65138,1,2.0,5.0,0.0,,,,,,,
65139,0,5.0,,,,,,,,,
69993,4,1.0,6.0,2.0,5.0,,,,,,
69994,5,,,,,,,,,,
69995,0,,,,,,,,,,
69996,0,5.0,7.0,2.0,1.0,,,,,,
69997,0,,,,,,,,,,
69998,5,6.0,,,,,,,,,
69999,5,3.0,,,,,,,,,
70000,9,0.0,4.0,6.0,8.0,,,,,,
70001,9,5.0,7.0,2.0,1.0,,,,,,
70002,5,0.0,2.0,,,,,,,,
70003,0,1.0,4.0,5.0,,,,,,,
70004,10,6.0,0.0,7.0,2.0,,,,,,
70005,3,0.0,9.0,,,,,,,,
70006,5,,,,,,,,,,
70007,1,2.0,,,,,,,,,
70008,0,5.0,1.0,,,,,,,,
70009,0,5.0,6.0,4.0,7.0,,,,,,
70010,7,4.0,1.0,6.0,0.0,,,,,,
70011,9,,,,,,,,,,
70013,6,,,,,,,,,,
70014,1,5.0,7.0,,,,,,,,
70015,5,0.0,1.0,6.0,8.0,,,,,,
70016,0,10.0,1.0,8.0,9.0,,,,,,
70017,0,,,,,,,,,,
70019,6,2.0,8.0,3.0,10.0,,,,,,
70020,1,,,,,,,,,,
70021,0,1.0,6.0,,,,,,,,
70022,5,10.0,9.0,,,,,,,,
70023,1,0.0,5.0,4.0,2.0,,,,,,
70024,1,0.0,5.0,,,,,,,,
70025,5,,,,,,,,,,
70026,0,8.0,,,,,,,,,
70028,4,9.0,1.0,7.0,,,,,,,
70029,0,1.0,3.0,,,,,,,,
70030,4,1.0,,,,,,,,,
70032,8,,,,,,,,,,
70033,5,,,,,,,,,,
70034,1,,,,,,,,,,
70036,1,10.0,0.0,6.0,5.0,,,,,,
70037,0,9.0,2.0,6.0,7.0,,,,,,
70038,5,,,,,,,,,,
70039,5,6.0,10.0,2.0,8.0,,,,,,
70042,3,2.0,4.0,8.0,9.0,,,,,,
70044,8,,,,,,,,,,
70045,3,,,,,,,,,,
70046,5,,,,,,,,,,
70047,8,,,,,,,,,,
70049,5,,,,,,,,,,
70050,6,9.0,0.0,8.0,1.0,,,,,,
70051,1,0.0,,,,,,,,,
70052,2,,,,,,,,,,
70054,0,5.0,,,,,,,,,
70055,1,,,,,,,,,,
70056,2,,,,,,,,,,
70057,0,1.0,,,,,,,,,
70058,1,,,,,,,,,,
70059,0,4.0,1.0,5.0,9.0,,,,,,
70060,1,,,,,,,,,,
70062,1,0.0,5.0,4.0,2.0,,,,,,
70063,0,,,,,,,,,,
70064,0,2.0,1.0,6.0,9.0,,,,,,
70065,0,4.0,1.0,5.0,,,,,,,
70066,0,5.0,,,,,,,,,
70067,1,5.0,,,,,,,,,
70068,2,0.0,3.0,,,,,,,,
70069,1,,,,,,,,,,
70070,0,1.0,10.0,,,,,,,,
70071,2,,,,,,,,,,
70072,5,0.0,2.0,3.0,6.0,,,,,,
70073,0,4.0,,,,,,,,,
70074,6,,,,,,,,,,
70075,5,,,,,,,,,,
70077,4,1.0,,,,,,,,,
70078,4,0.0,1.0,,,,,,,,
70079,6,,,,,,,,,,
70080,6,,,,,,,,,,
70081,6,,,,,,,,,,
70082,0,1.0,2.0,4.0,9.0,,,,,,
70083,6,5.0,,,,,,,,,
70084,1,0.0,7.0,2.0,9.0,,,,,,
70085,6,,,,,,,,,,
70086,1,0.0,,,,,,,,,
70087,3,,,,,,,,,,
70088,0,,,,,,,,,,
70089,7,,,,,,,,,,
70091,2,1.0,0.0,,,,,,,,
70092,1,0.0,5.0,9.0,3.0,,,,,,
70093,4,2.0,8.0,10.0,1.0,,,,,,
70095,0,,,,,,,,,,
70096,5,,,,,,,,,,
70098,0,8.0,6.0,4.0,,,,,,,
70099,1,,,,,,,,,,
70100,7,9.0,1.0,3.0,4.0,,,,,,
70101,0,1.0,5.0,4.0,2.0,,,,,,
70103,5,0.0,1.0,8.0,4.0,,,,,,
70104,0,,,,,,,,,,
70106,0,5.0,2.0,6.0,9.0,,,,,,
70107,0,5.0,2.0,1.0,9.0,,,,,,
70108,4,1.0,5.0,6.0,0.0,,,,,,
70109,5,,,,,,,,,,
70110,1,0.0,5.0,4.0,3.0,,,,,,
70111,1,7.0,0.0,8.0,9.0,,,,,,
70112,4,,,,,,,,,,
70113,1,,,,,,,,,,
70114,6,3.0,10.0,2.0,1.0,,,,,,
70115,5,,,,,,,,,,
70117,1,5.0,4.0,,,,,,,,
70118,5,,,,,,,,,,
70119,1,2.0,4.0,,,,,,,,
70121,0,1.0,7.0,,,,,,,,
70123,9,0.0,7.0,1.0,5.0,,,,,,
70126,1,,,,,,,,,,
70128,1,,,,,,,,,,
70129,0,2.0,1.0,8.0,7.0,,,,,,
70130,0,1.0,5.0,4.0,3.0,,,,,,
70131,2,0.0,,,,,,,,,
70132,5,1.0,0.0,4.0,3.0,,,,,,
70134,1,,,,,,,,,,
70135,2,6.0,1.0,3.0,8.0,,,,,,
70137,1,4.0,,,,,,,,,
70138,2,,,,,,,,,,
70139,2,,,,,,,,,,
70140,0,,,,,,,,,,
70141,2,0.0,4.0,5.0,10.0,,,,,,
70142,5,6.0,2.0,10.0,,,,,,,
70143,5,10.0,8.0,,,,,,,,
70144,1,0.0,,,,,,,,,
70145,5,,,,,,,,,,
70147,5,,,,,,,,,,
70148,0,4.0,5.0,6.0,,,,,,,
70149,1,6.0,5.0,,,,,,,,
70150,0,1.0,7.0,10.0,2.0,,,,,,
70151,0,,,,,,,,,,
70153,1,0.0,5.0,4.0,2.0,,,,,,
70154,5,4.0,0.0,,,,,,,,
70155,0,1.0,5.0,,,,,,,,
70156,0,,,,,,,,,,
70159,0,,,,,,,,,,
70160,5,1.0,,,,,,,,,
70162,0,4.0,,,,,,,,,
70163,0,5.0,1.0,,,,,,,,
70164,8,,,,,,,,,,
70165,6,,,,,,,,,,
70167,8,2.0,6.0,,,,,,,,
70168,2,,,,,,,,,,
70169,0,5.0,3.0,,,,,,,,
70170,4,6.0,7.0,1.0,5.0,,,,,,
70171,4,,,,,,,,,,
70172,1,9.0,0.0,7.0,,,,,,,
70173,1,,,,,,,,,,
70174,0,1.0,7.0,9.0,10.0,,,,,,
70175,1,,,,,,,,,,
70176,1,5.0,0.0,4.0,9.0,,,,,,
70177,1,,,,,,,,,,
70178,6,8.0,,,,,,,,,
70180,0,,,,,,,,,,
70181,4,3.0,10.0,1.0,0.0,,,,,,
70182,4,,,,,,,,,,
70183,4,0.0,9.0,3.0,1.0,,,,,,
70184,1,,,,,,,,,,
70185,6,4.0,5.0,10.0,8.0,,,,,,
70186,0,4.0,1.0,5.0,2.0,,,,,,
70187,10,,,,,,,,,,
70188,6,,,,,,,,,,
70189,0,5.0,6.0,,,,,,,,
70190,0,1.0,,,,,,,,,
70191,5,,,,,,,,,,
70192,1,10.0,0.0,7.0,2.0,,,,,,
70193,0,,,,,,,,,,
70195,6,,,,,,,,,,
70196,1,4.0,,,,,,,,,
70197,5,4.0,2.0,9.0,7.0,,,,,,
70198,5,,,,,,,,,,
70199,5,0.0,,,,,,,,,
70200,5,,,,,,,,,,
70201,0,1.0,5.0,4.0,2.0,,,,,,
70202,5,2.0,,,,,,,,,
70204,0,1.0,5.0,,,,,,,,
70205,1,3.0,7.0,2.0,4.0,,,,,,
70206,5,6.0,2.0,8.0,4.0,,,,,,
70207,5,0.0,,,,,,,,,
70208,1,4.0,5.0,,,,,,,,
70209,0,,,,,,,,,,
70210,4,3.0,9.0,2.0,8.0,,,,,,
70211,0,1.0,,,,,,,,,
70213,0,2.0,,,,,,,,,
70214,0,,,,,,,,,,
70215,3,0.0,5.0,1.0,,,,,,,
70216,0,2.0,1.0,,,,,,,,
70217,1,10.0,5.0,0.0,9.0,,,,,,
70218,1,0.0,,,,,,,,,
70219,0,2.0,5.0,1.0,6.0,,,,,,
70220,1,5.0,3.0,8.0,0.0,,,,,,
70221,2,9.0,6.0,0.0,,,,,,,
70222,0,1.0,,,,,,,,,
70223,4,0.0,9.0,7.0,1.0,,,,,,
70224,5,0.0,3.0,6.0,2.0,,,,,,
70225,4,5.0,,,,,,,,,
70226,1,,,,,,,,,,
70227,5,0.0,6.0,7.0,,,,,,,
70228,1,,,,,,,,,,
70229,1,0.0,,,,,,,,,
70230,2,,,,,,,,,,
70231,3,4.0,0.0,5.0,,,,,,,
70232,0,,,,,,,,,,
70233,0,5.0,1.0,,,,,,,,
70234,4,1.0,2.0,0.0,7.0,,,,,,
70235,0,,,,,,,,,,
70236,2,3.0,10.0,0.0,4.0,,,,,,
70237,1,0.0,4.0,7.0,2.0,,,,,,
70238,1,0.0,,,,,,,,,
70239,4,2.0,,,,,,,,,
70240,0,4.0,1.0,5.0,,,,,,,
70241,0,5.0,9.0,3.0,7.0,,,,,,
70242,1,0.0,7.0,2.0,9.0,,,,,,
70244,5,,,,,,,,,,
70245,10,,,,,,,,,,
70246,0,1.0,4.0,10.0,2.0,,,,,,
70247,5,0.0,6.0,7.0,2.0,,,,,,
70796,5,,,,,,,,,,
70797,0,,,,,,,,,,
70798,10,7.0,2.0,4.0,,,,,,,
70799,1,5.0,,,,,,,,,
70801,6,,,,,,,,,,
70802,1,0.0,5.0,4.0,9.0,,,,,,
70803,0,5.0,3.0,,,,,,,,
70804,5,0.0,,,,,,,,,
70805,2,0.0,1.0,,,,,,,,
70806,0,5.0,2.0,10.0,9.0,,,,,,
70807,6,4.0,1.0,8.0,5.0,,,,,,
70808,0,,,,,,,,,,
70810,4,0.0,1.0,3.0,5.0,,,,,,
70811,1,5.0,4.0,,,,,,,,
70813,8,10.0,6.0,4.0,5.0,,,,,,
70816,4,0.0,,,,,,,,,
70817,4,8.0,9.0,3.0,2.0,,,,,,
70818,0,,,,,,,,,,
70819,5,,,,,,,,,,
70821,5,0.0,9.0,2.0,1.0,,,,,,
70822,5,6.0,2.0,1.0,9.0,,,,,,
70823,4,,,,,,,,,,
70824,1,0.0,3.0,,,,,,,,
70825,4,5.0,10.0,,,,,,,,
70826,0,2.0,1.0,5.0,9.0,,,,,,
70827,0,,,,,,,,,,
70828,5,0.0,6.0,1.0,7.0,,,,,,
70829,6,,,,,,,,,,
70830,1,4.0,0.0,2.0,,,,,,,
70832,0,5.0,9.0,,,,,,,,
70833,4,,,,,,,,,,
70834,5,,,,,,,,,,
70835,0,1.0,7.0,10.0,2.0,,,,,,
70836,5,0.0,9.0,10.0,3.0,,,,,,
70837,5,,,,,,,,,,
70839,0,5.0,2.0,4.0,,,,,,,
70840,5,6.0,2.0,3.0,4.0,,,,,,
70842,2,5.0,0.0,6.0,10.0,,,,,,
70843,0,6.0,5.0,4.0,9.0,,,,,,
70844,1,,,,,,,,,,
70845,1,0.0,,,,,,,,,
70846,1,5.0,4.0,7.0,2.0,,,,,,
70847,7,8.0,,,,,,,,,
70848,5,,,,,,,,,,
70849,1,,,,,,,,,,
70852,0,1.0,5.0,4.0,3.0,,,,,,
70853,1,10.0,,,,,,,,,
70854,0,4.0,,,,,,,,,
70855,0,5.0,10.0,4.0,2.0,,,,,,
70856,0,,,,,,,,,,
70857,5,4.0,0.0,,,,,,,,
70858,1,5.0,10.0,0.0,,,,,,,
70859,2,1.0,,,,,,,,,
70860,0,,,,,,,,,,
70861,1,2.0,0.0,7.0,5.0,,,,,,
70862,0,1.0,10.0,8.0,9.0,,,,,,
70863,0,5.0,9.0,2.0,1.0,,,,,,
70864,0,5.0,4.0,,,,,,,,
70865,4,3.0,7.0,1.0,9.0,,,,,,
70866,1,0.0,9.0,3.0,8.0,,,,,,
70867,0,1.0,,,,,,,,,
70868,2,,,,,,,,,,
70870,8,,,,,,,,,,
70873,2,1.0,0.0,10.0,8.0,,,,,,
70875,6,,,,,,,,,,
70876,1,,,,,,,,,,
70877,3,,,,,,,,,,
70878,5,,,,,,,,,,
70879,0,4.0,,,,,,,,,
70880,0,,,,,,,,,,
70881,4,2.0,5.0,0.0,9.0,,,,,,
70882,1,5.0,0.0,,,,,,,,
70883,0,7.0,2.0,5.0,6.0,,,,,,
70884,6,,,,,,,,,,
70885,3,,,,,,,,,,
70886,1,5.0,6.0,7.0,8.0,,,,,,
70887,8,,,,,,,,,,
70888,0,1.0,2.0,4.0,,,,,,,
70890,1,,,,,,,,,,
70891,1,2.0,9.0,,,,,,,,
70892,1,,,,,,,,,,
70893,0,1.0,7.0,10.0,2.0,,,,,,
70894,2,5.0,,,,,,,,,
70895,9,0.0,2.0,1.0,,,,,,,
70896,5,0.0,9.0,3.0,4.0,,,,,,
70897,0,4.0,,,,,,,,,
70898,6,,,,,,,,,,
70899,4,1.0,,,,,,,,,
70900,3,8.0,10.0,,,,,,,,
70901,1,5.0,0.0,4.0,2.0,,,,,,
70903,0,4.0,6.0,1.0,,,,,,,
70904,1,,,,,,,,,,
70905,1,0.0,,,,,,,,,
70906,0,,,,,,,,,,
70907,4,,,,,,,,,,
70908,4,1.0,5.0,9.0,,,,,,,
70909,4,5.0,9.0,10.0,,,,,,,
70910,5,6.0,10.0,2.0,8.0,,,,,,
70911,8,0.0,3.0,10.0,9.0,,,,,,
70912,8,9.0,,,,,,,,,
70913,1,,,,,,,,,,
70915,1,,,,,,,,,,
70916,1,5.0,10.0,6.0,4.0,,,,,,
70917,7,,,,,,,,,,
70918,0,1.0,5.0,4.0,2.0,,,,,,
70919,9,2.0,8.0,0.0,5.0,,,,,,
70920,1,,,,,,,,,,
70922,1,,,,,,,,,,
70923,4,,,,,,,,,,
70924,1,8.0,6.0,5.0,,,,,,,
70925,0,5.0,,,,,,,,,
70926,5,3.0,2.0,1.0,0.0,,,,,,
70927,4,0.0,10.0,7.0,2.0,,,,,,
70928,4,,,,,,,,,,
70929,5,,,,,,,,,,
70931,1,,,,,,,,,,
70933,0,,,,,,,,,,
70934,2,4.0,6.0,7.0,8.0,,,,,,
70935,7,2.0,,,,,,,,,
70936,2,1.0,8.0,9.0,0.0,,,,,,
70937,0,,,,,,,,,,
70938,0,,,,,,,,,,
70940,0,5.0,6.0,,,,,,,,
70941,1,,,,,,,,,,
70942,0,5.0,4.0,,,,,,,,
70943,0,,,,,,,,,,
70944,5,9.0,6.0,10.0,1.0,,,,,,
70945,0,5.0,,,,,,,,,
70946,2,10.0,3.0,,,,,,,,
70947,5,0.0,,,,,,,,,
70948,4,8.0,6.0,0.0,5.0,,,,,,
70949,4,9.0,2.0,,,,,,,,
70950,5,,,,,,,,,,
70951,1,0.0,4.0,,,,,,,,
70952,4,5.0,6.0,10.0,9.0,,,,,,
70953,1,0.0,,,,,,,,,
70955,5,2.0,10.0,0.0,1.0,,,,,,
70956,9,,,,,,,,,,
70957,0,6.0,5.0,,,,,,,,
70958,1,5.0,,,,,,,,,
70959,1,4.0,,,,,,,,,
70960,6,10.0,3.0,0.0,4.0,,,,,,
70961,6,2.0,10.0,,,,,,,,
70962,0,4.0,1.0,,,,,,,,
70963,0,4.0,1.0,5.0,,,,,,,
70964,5,1.0,4.0,9.0,0.0,,,,,,
70965,1,6.0,,,,,,,,,
70966,6,,,,,,,,,,
70967,4,,,,,,,,,,
70968,0,1.0,,,,,,,,,
70969,1,0.0,4.0,5.0,9.0,,,,,,
70970,4,0.0,5.0,,,,,,,,
70971,1,4.0,,,,,,,,,
70972,1,,,,,,,,,,
70974,5,,,,,,,,,,
70975,5,6.0,,,,,,,,,
70976,7,,,,,,,,,,
70978,5,4.0,9.0,6.0,10.0,,,,,,
70979,1,,,,,,,,,,
70980,0,5.0,,,,,,,,,
70981,4,8.0,0.0,9.0,6.0,,,,,,
70984,8,,,,,,,,,,
70985,0,1.0,5.0,,,,,,,,
70986,9,4.0,0.0,5.0,3.0,,,,,,
70987,6,0.0,5.0,10.0,8.0,,,,,,
70988,3,2.0,10.0,5.0,,,,,,,
70989,9,7.0,2.0,1.0,5.0,,,,,,
70990,5,,,,,,,,,,
70991,1,5.0,10.0,,,,,,,,
70993,0,,,,,,,,,,
70994,7,8.0,10.0,9.0,4.0,,,,,,
70995,6,,,,,,,,,,
70998,1,,,,,,,,,,
70999,1,4.0,,,,,,,,,
71000,4,1.0,0.0,2.0,5.0,,,,,,
71001,0,5.0,3.0,4.0,7.0,,,,,,
71002,1,0.0,5.0,4.0,3.0,,,,,,
71003,6,,,,,,,,,,
71004,0,9.0,2.0,1.0,7.0,,,,,,
71005,5,0.0,,,,,,,,,
71006,9,,,,,,,,,,
71007,1,5.0,0.0,9.0,4.0,,,,,,
71008,6,7.0,2.0,5.0,4.0,,,,,,
71009,5,8.0,1.0,,,,,,,,
71010,5,4.0,10.0,7.0,1.0,,,,,,
71011,5,4.0,0.0,2.0,1.0,,,,,,
71013,9,0.0,7.0,2.0,1.0,,,,,,
71014,0,2.0,7.0,9.0,,,,,,,
71015,5,0.0,4.0,,,,,,,,
71016,10,8.0,7.0,6.0,9.0,,,,,,
71017,5,1.0,4.0,6.0,2.0,,,,,,
71018,1,4.0,5.0,0.0,,,,,,,
71019,4,0.0,1.0,5.0,,,,,,,
71020,6,5.0,,,,,,,,,
71021,1,0.0,,,,,,,,,
71022,1,0.0,9.0,7.0,2.0,,,,,,
71023,0,2.0,9.0,5.0,6.0,,,,,,
71024,10,1.0,2.0,9.0,0.0,,,,,,
71025,5,0.0,3.0,6.0,1.0,,,,,,
71027,9,,,,,,,,,,
71028,5,,,,,,,,,,
71029,0,5.0,4.0,,,,,,,,
71030,5,0.0,2.0,4.0,3.0,,,,,,
71984,0,,,,,,,,,,
71985,6,2.0,1.0,,,,,,,,
71986,1,,,,,,,,,,
71987,4,2.0,,,,,,,,,
71988,9,,,,,,,,,,
71989,1,0.0,7.0,,,,,,,,
71991,7,,,,,,,,,,
71992,5,0.0,9.0,4.0,1.0,,,,,,
71993,2,,,,,,,,,,
71994,0,1.0,4.0,2.0,10.0,,,,,,
71995,1,,,,,,,,,,
71996,8,4.0,0.0,6.0,1.0,,,,,,
71997,6,7.0,0.0,4.0,8.0,,,,,,
71998,6,3.0,8.0,10.0,0.0,,,,,,
71999,2,6.0,5.0,,,,,,,,
72000,1,4.0,0.0,6.0,8.0,,,,,,
72001,5,0.0,,,,,,,,,
72002,5,6.0,,,,,,,,,
72003,6,8.0,,,,,,,,,
72004,4,,,,,,,,,,
72005,1,6.0,8.0,0.0,3.0,,,,,,
72006,5,0.0,9.0,1.0,,,,,,,
72007,1,,,,,,,,,,
72008,1,2.0,0.0,6.0,7.0,,,,,,
72009,0,,,,,,,,,,
72010,4,5.0,0.0,1.0,,,,,,,
72011,0,,,,,,,,,,
72012,0,1.0,3.0,,,,,,,,
72013,1,0.0,5.0,,,,,,,,
72015,5,6.0,2.0,8.0,,,,,,,
72017,1,0.0,5.0,,,,,,,,
72018,5,,,,,,,,,,
72019,0,5.0,6.0,8.0,1.0,,,,,,
72020,6,,,,,,,,,,
72022,8,,,,,,,,,,
72023,0,,,,,,,,,,
72024,0,,,,,,,,,,
72025,6,0.0,7.0,1.0,4.0,,,,,,
72026,1,0.0,5.0,4.0,2.0,,,,,,
72027,5,0.0,,,,,,,,,
72028,4,10.0,7.0,8.0,0.0,,,,,,
72029,1,,,,,,,,,,
72030,5,9.0,10.0,4.0,0.0,,,,,,
72031,10,4.0,8.0,7.0,6.0,,,,,,
72032,1,,,,,,,,,,
72033,4,,,,,,,,,,
72035,1,,,,,,,,,,
72036,4,6.0,,,,,,,,,
72037,1,7.0,6.0,0.0,9.0,,,,,,
72038,1,8.0,7.0,6.0,9.0,,,,,,
72039,1,0.0,2.0,5.0,,,,,,,
72040,5,,,,,,,,,,
72043,1,4.0,,,,,,,,,
72044,0,1.0,,,,,,,,,
72045,1,5.0,10.0,2.0,,,,,,,
72046,5,1.0,10.0,9.0,2.0,,,,,,
72048,0,1.0,5.0,,,,,,,,
72049,5,4.0,0.0,2.0,1.0,,,,,,
72051,3,,,,,,,,,,
72052,1,0.0,,,,,,,,,
72053,6,,,,,,,,,,
72054,7,,,,,,,,,,
72055,0,1.0,2.0,4.0,5.0,,,,,,
72057,4,5.0,2.0,,,,,,,,
72058,6,,,,,,,,,,
72059,1,0.0,2.0,5.0,4.0,,,,,,
72060,0,2.0,5.0,,,,,,,,
72061,0,,,,,,,,,,
72062,2,1.0,5.0,0.0,8.0,,,,,,
72063,9,3.0,7.0,2.0,1.0,,,,,,
72064,9,,,,,,,,,,
72065,0,,,,,,,,,,
72066,0,,,,,,,,,,
72067,8,5.0,6.0,2.0,3.0,,,,,,
72068,1,0.0,4.0,5.0,10.0,,,,,,
72069,8,,,,,,,,,,
72070,1,,,,,,,,,,
72071,0,7.0,2.0,1.0,9.0,,,,,,
72072,5,2.0,,,,,,,,,
72073,4,,,,,,,,,,
72074,1,6.0,5.0,9.0,7.0,,,,,,
72076,1,0.0,,,,,,,,,
72077,5,1.0,6.0,0.0,7.0,,,,,,
72078,3,6.0,9.0,0.0,4.0,,,,,,
72080,7,2.0,4.0,9.0,3.0,,,,,,
72081,0,,,,,,,,,,
72082,0,1.0,7.0,4.0,10.0,,,,,,
72083,4,5.0,,,,,,,,,
72084,4,1.0,6.0,,,,,,,,
72085,1,8.0,2.0,3.0,9.0,,,,,,
72086,0,1.0,5.0,4.0,,,,,,,
72087,0,,,,,,,,,,
72089,6,8.0,5.0,0.0,4.0,,,,,,
72090,4,1.0,,,,,,,,,
72091,2,,,,,,,,,,
72092,1,0.0,5.0,10.0,7.0,,,,,,
72093,5,4.0,10.0,6.0,,,,,,,
72094,2,1.0,6.0,,,,,,,,
72095,1,4.0,0.0,,,,,,,,
72096,1,8.0,2.0,,,,,,,,
72097,5,1.0,6.0,9.0,0.0,,,,,,
72098,1,,,,,,,,,,
72099,5,,,,,,,,,,
72100,0,1.0,8.0,,,,,,,,
72102,0,,,,,,,,,,
72103,5,,,,,,,,,,
72104,4,0.0,2.0,1.0,6.0,,,,,,
72105,1,2.0,0.0,7.0,6.0,,,,,,
72106,1,,,,,,,,,,
72107,0,3.0,7.0,9.0,2.0,,,,,,
72108,1,0.0,,,,,,,,,
72109,1,4.0,10.0,0.0,7.0,,,,,,
72110,9,7.0,2.0,1.0,0.0,,,,,,
72111,5,,,,,,,,,,
72112,1,0.0,4.0,5.0,10.0,,,,,,
72113,2,1.0,4.0,9.0,3.0,,,,,,
72114,1,,,,,,,,,,
72115,0,6.0,,,,,,,,,
72117,0,6.0,7.0,8.0,4.0,,,,,,
72118,4,,,,,,,,,,
72120,0,1.0,7.0,10.0,2.0,,,,,,
72121,1,0.0,,,,,,,,,
72122,0,9.0,7.0,2.0,1.0,,,,,,
72123,0,,,,,,,,,,
72124,2,10.0,3.0,4.0,9.0,,,,,,
72125,2,,,,,,,,,,
72126,2,,,,,,,,,,
72127,5,6.0,0.0,1.0,8.0,,,,,,
72128,5,0.0,4.0,3.0,7.0,,,,,,
72129,0,5.0,,,,,,,,,
72130,8,,,,,,,,,,
72131,1,0.0,5.0,4.0,2.0,,,,,,
72132,8,,,,,,,,,,
72133,5,9.0,2.0,0.0,1.0,,,,,,
72134,1,10.0,5.0,2.0,,,,,,,
72135,9,,,,,,,,,,
72136,5,4.0,8.0,,,,,,,,
72137,0,1.0,9.0,7.0,2.0,,,,,,
72138,4,0.0,1.0,5.0,2.0,,,,,,
72139,5,1.0,0.0,,,,,,,,
72140,0,1.0,,,,,,,,,
72141,1,0.0,6.0,5.0,8.0,,,,,,
72142,8,1.0,2.0,7.0,10.0,,,,,,
72143,1,,,,,,,,,,
72144,6,,,,,,,,,,
72146,1,0.0,4.0,10.0,,,,,,,
72147,0,9.0,7.0,2.0,1.0,,,,,,
72148,0,5.0,,,,,,,,,
72149,0,,,,,,,,,,
72150,5,0.0,6.0,8.0,3.0,,,,,,
72151,1,,,,,,,,,,
72152,0,9.0,5.0,3.0,6.0,,,,,,
72153,1,10.0,0.0,5.0,,,,,,,
72154,4,0.0,5.0,9.0,2.0,,,,,,
72155,4,,,,,,,,,,
72156,6,0.0,8.0,3.0,5.0,,,,,,
72157,0,,,,,,,,,,
72158,5,,,,,,,,,,
72159,5,,,,,,,,,,
