,0,1,2,3,4,5,6,7
1,Write-In cells: 208,,,,,,,
2,Overvote cells: 179,,,,,,,
3,Mercedes Narcisse: 0,,,,,,,
4,Tiffany Pryor: 1,,,,,,,
5,Shirley S. Paul: 2,,,,,,,
6,Judy D. Newton: 3,,,,,,,
7,R. Dimple Willabus: 4,,,,,,,
8,Gardy Brazela: 5,,,,,,,
9,Donald J. Cranston: 6,,,,,,,
10,Zuri S. Jackson: 7,,,,,,,
39,0,1.0,2.0,3.0,4.0,,,
66,1,2.0,0.0,3.0,4.0,,,
67,2,,,,,,,
69,0,5.0,6.0,7.0,1.0,,,
70,3,2.0,1.0,7.0,,,,
71,2,6.0,1.0,5.0,3.0,,,
72,0,2.0,1.0,3.0,5.0,,,
73,7,2.0,,,,,,
74,2,0.0,1.0,7.0,3.0,,,
75,0,2.0,5.0,1.0,7.0,,,
76,4,3.0,1.0,5.0,6.0,,,
77,0,5.0,6.0,7.0,1.0,,,
78,6,3.0,2.0,1.0,7.0,,,
79,2,,,,,,,
80,6,2.0,1.0,4.0,,,,
105,2,,,,,,,
106,2,,,,,,,
107,5,4.0,0.0,,,,,
108,0,2.0,3.0,6.0,4.0,,,
109,6,,,,,,,
110,5,3.0,,,,,,
112,2,4.0,,,,,,
114,0,,,,,,,
115,0,,,,,,,
116,0,7.0,2.0,1.0,3.0,,,
117,2,5.0,0.0,3.0,4.0,,,
119,3,,,,,,,
121,2,5.0,,,,,,
122,7,2.0,1.0,,,,,
123,1,7.0,3.0,,,,,
125,7,,,,,,,
126,7,5.0,4.0,6.0,3.0,,,
127,2,,,,,,,
128,4,,,,,,,
130,0,2.0,7.0,3.0,6.0,,,
131,0,,,,,,,
132,0,,,,,,,
133,0,5.0,2.0,3.0,7.0,,,
135,2,5.0,3.0,0.0,1.0,,,
136,0,5.0,1.0,3.0,6.0,,,
137,4,6.0,0.0,7.0,2.0,,,
138,0,4.0,,,,,,
139,2,,,,,,,
140,5,0.0,,,,,,
141,2,0.0,3.0,1.0,7.0,,,
142,6,,,,,,,
143,6,5.0,,,,,,
144,6,,,,,,,
145,3,,,,,,,
146,0,6.0,2.0,7.0,,,,
147,0,4.0,5.0,,,,,
148,6,2.0,0.0,,,,,
149,4,,,,,,,
150,0,6.0,4.0,2.0,,,,
151,4,3.0,0.0,5.0,2.0,,,
152,2,3.0,1.0,7.0,0.0,,,
153,4,,,,,,,
154,1,0.0,2.0,3.0,6.0,,,
346,0,2.0,7.0,6.0,3.0,,,
347,7,0.0,2.0,4.0,5.0,,,
349,2,0.0,5.0,,,,,
350,0,,,,,,,
351,7,3.0,,,,,,
352,2,1.0,,,,,,
354,7,3.0,,,,,,
355,0,,,,,,,
356,3,5.0,2.0,,,,,
357,0,4.0,3.0,,,,,
358,5,7.0,4.0,6.0,0.0,,,
359,4,6.0,,,,,,
360,0,,,,,,,
361,0,4.0,5.0,2.0,,,,
362,0,3.0,2.0,4.0,6.0,,,
363,0,3.0,2.0,4.0,6.0,,,
364,6,0.0,5.0,2.0,,,,
365,5,0.0,2.0,3.0,4.0,,,
366,7,1.0,0.0,2.0,3.0,,,
367,0,4.0,7.0,6.0,2.0,,,
368,0,5.0,2.0,1.0,7.0,,,
369,4,2.0,3.0,0.0,1.0,,,
370,0,3.0,,,,,,
371,2,,,,,,,
372,4,0.0,2.0,,,,,
373,6,,,,,,,
374,0,2.0,,,,,,
375,0,5.0,2.0,,,,,
376,2,5.0,,,,,,
377,0,,,,,,,
378,0,2.0,,,,,,
537,5,3.0,,,,,,
630,2,5.0,,,,,,
631,6,0.0,5.0,2.0,4.0,,,
632,0,7.0,6.0,2.0,1.0,,,
633,2,0.0,6.0,1.0,3.0,,,
634,0,2.0,7.0,3.0,1.0,,,
635,7,,,,,,,
636,0,4.0,2.0,,,,,
637,6,2.0,4.0,1.0,5.0,,,
638,0,5.0,4.0,,,,,
640,7,,,,,,,
641,0,6.0,2.0,1.0,3.0,,,
642,5,0.0,6.0,,,,,
643,6,,,,,,,
645,6,,,,,,,
646,7,,,,,,,
647,0,4.0,1.0,3.0,2.0,,,
648,0,1.0,2.0,6.0,,,,
649,5,3.0,2.0,,,,,
650,4,1.0,0.0,3.0,5.0,,,
809,6,,,,,,,
810,0,2.0,7.0,,,,,
811,0,2.0,7.0,,,,,
812,0,2.0,7.0,,,,,
813,0,2.0,4.0,,,,,
814,6,,,,,,,
815,2,0.0,1.0,7.0,5.0,,,
816,2,0.0,1.0,7.0,5.0,,,
817,6,,,,,,,
818,2,0.0,1.0,7.0,5.0,,,
867,0,3.0,7.0,2.0,4.0,,,
868,7,1.0,0.0,6.0,3.0,,,
869,6,0.0,,,,,,
870,0,5.0,3.0,6.0,2.0,,,
871,4,3.0,2.0,0.0,7.0,,,
872,0,7.0,2.0,6.0,4.0,,,
873,4,2.0,6.0,1.0,7.0,,,
874,3,2.0,0.0,1.0,7.0,,,
875,0,4.0,5.0,1.0,6.0,,,
877,0,7.0,3.0,6.0,,,,
1257,0,7.0,2.0,1.0,5.0,,,
1259,3,2.0,0.0,6.0,,,,
1260,2,0.0,,,,,,
1261,3,5.0,0.0,6.0,1.0,,,
1262,6,0.0,1.0,7.0,5.0,,,
1263,3,7.0,0.0,6.0,2.0,,,
1264,1,0.0,2.0,3.0,6.0,,,
1365,2,0.0,6.0,7.0,5.0,,,
1366,4,6.0,3.0,2.0,0.0,,,
1367,6,4.0,2.0,1.0,7.0,,,
1368,4,6.0,1.0,3.0,7.0,,,
1369,6,3.0,,,,,,
1571,4,6.0,3.0,0.0,,,,
1572,0,,,,,,,
1573,0,2.0,4.0,7.0,1.0,,,
1574,4,2.0,0.0,7.0,3.0,,,
1575,5,,,,,,,
1576,0,2.0,,,,,,
1577,0,7.0,5.0,1.0,2.0,,,
1578,0,,,,,,,
1579,4,3.0,2.0,0.0,1.0,,,
1580,2,5.0,6.0,7.0,0.0,,,
1581,0,6.0,,,,,,
1583,0,,,,,,,
1584,4,2.0,0.0,7.0,3.0,,,
1585,1,,,,,,,
1586,3,,,,,,,
1588,1,2.0,,,,,,
1589,0,3.0,5.0,2.0,,,,
1673,7,1.0,6.0,,,,,
1675,6,,,,,,,
1676,5,3.0,0.0,2.0,6.0,,,
1677,5,6.0,0.0,2.0,3.0,,,
1679,6,,,,,,,
1680,2,3.0,,,,,,
1682,6,2.0,7.0,5.0,3.0,,,
1683,6,,,,,,,
1684,4,,,,,,,
1685,0,7.0,5.0,4.0,3.0,,,
1686,4,,,,,,,
1687,5,3.0,4.0,,,,,
1688,5,3.0,,,,,,
1689,6,1.0,5.0,2.0,0.0,,,
1690,1,2.0,3.0,,,,,
1691,2,7.0,6.0,,,,,
1692,6,,,,,,,
1696,6,,,,,,,
1697,2,,,,,,,
1758,4,,,,,,,
1759,4,,,,,,,
1760,4,0.0,5.0,,,,,
1761,4,2.0,,,,,,
1762,2,,,,,,,
1763,2,7.0,1.0,5.0,4.0,,,
1764,4,6.0,0.0,3.0,2.0,,,
1765,6,5.0,,,,,,
1766,4,,,,,,,
1767,0,5.0,,,,,,
1768,0,1.0,,,,,,
1769,0,,,,,,,
1770,0,,,,,,,
1771,0,4.0,1.0,2.0,5.0,,,
1772,5,,,,,,,
1773,4,5.0,,,,,,
1774,4,,,,,,,
1775,4,,,,,,,
1777,0,2.0,,,,,,
1778,4,6.0,2.0,3.0,5.0,,,
1779,7,2.0,3.0,1.0,4.0,,,
1849,5,3.0,6.0,7.0,4.0,,,
1850,4,,,,,,,
1851,5,7.0,0.0,2.0,6.0,,,
1852,2,1.0,3.0,5.0,6.0,,,
1853,4,,,,,,,
1854,0,7.0,3.0,1.0,4.0,,,
1855,5,2.0,,,,,,
1856,1,,,,,,,
1857,0,,,,,,,
1859,2,1.0,3.0,5.0,0.0,,,
1860,0,,,,,,,
1861,2,0.0,4.0,1.0,,,,
1862,3,0.0,2.0,,,,,
1863,2,0.0,1.0,3.0,5.0,,,
1864,5,2.0,,,,,,
1865,4,,,,,,,
1975,2,0.0,,,,,,
1978,6,4.0,,,,,,
1979,6,3.0,2.0,1.0,4.0,,,
1980,4,,,,,,,
1981,6,,,,,,,
1982,0,1.0,7.0,2.0,3.0,,,
1983,4,3.0,2.0,1.0,6.0,,,
1984,0,6.0,,,,,,
1985,2,0.0,6.0,7.0,,,,
1987,0,,,,,,,
1989,6,0.0,1.0,5.0,3.0,,,
1990,6,,,,,,,
1991,3,6.0,,,,,,
1992,6,,,,,,,
2010,6,5.0,,,,,,
2011,5,6.0,0.0,4.0,1.0,,,
2012,2,3.0,0.0,1.0,7.0,,,
