,0,1,2,3,4,5
1,Write-In cells: 203,,,,,
2,Overvote cells: 365,,,,,
3,Pierina Ana Sanchez: 0,,,,,
4,Yudelka Tapia: 1,,,,,
5,Haile Rivera: 2,,,,,
6,Fernando A. Aquino: 3,,,,,
7,Adolfo Abreu: 4,,,,,
8,Socrates S. Solano: 5,,,,,
3706,0,1.0,5.0,3.0,,
3708,2,0.0,4.0,,,
3710,2,4.0,5.0,3.0,0.0,
3712,5,3.0,4.0,,,
3714,0,1.0,2.0,5.0,4.0,
3865,0,1.0,5.0,4.0,,
3867,0,,,,,
4945,0,1.0,5.0,3.0,4.0,
4947,0,2.0,4.0,5.0,3.0,
4954,1,2.0,4.0,5.0,3.0,
4955,4,2.0,0.0,3.0,1.0,
4960,4,3.0,1.0,5.0,0.0,
4962,2,4.0,5.0,3.0,1.0,
4964,0,3.0,4.0,1.0,2.0,
4967,3,,,,,
4969,2,4.0,0.0,,,
4970,4,2.0,5.0,3.0,0.0,
4974,4,3.0,0.0,5.0,2.0,
4975,0,4.0,5.0,2.0,3.0,
4978,0,,,,,
4979,0,,,,,
4982,3,5.0,0.0,4.0,2.0,
4986,5,2.0,3.0,1.0,0.0,
4989,1,0.0,,,,
4992,3,,,,,
4994,3,,,,,
4996,2,1.0,4.0,0.0,5.0,
5000,1,4.0,,,,
5004,0,,,,,
5005,4,3.0,,,,
5007,3,1.0,0.0,,,
5010,2,0.0,1.0,5.0,3.0,
5012,0,,,,,
5016,2,1.0,4.0,0.0,3.0,
5018,5,,,,,
5020,2,,,,,
5026,3,,,,,
5027,0,1.0,3.0,4.0,2.0,
5028,1,0.0,3.0,5.0,2.0,
5286,1,5.0,2.0,4.0,3.0,
5287,0,,,,,
5289,2,1.0,4.0,3.0,5.0,
5291,1,5.0,2.0,,,
5293,1,0.0,3.0,5.0,2.0,
5295,0,4.0,1.0,3.0,2.0,
5298,0,4.0,1.0,3.0,2.0,
5300,0,4.0,1.0,3.0,2.0,
5302,1,0.0,2.0,5.0,3.0,
5303,0,,,,,
5306,3,2.0,1.0,0.0,5.0,
5307,2,1.0,4.0,3.0,5.0,
6037,0,3.0,4.0,1.0,2.0,
6040,1,2.0,4.0,3.0,5.0,
6042,0,,,,,
6044,5,4.0,3.0,0.0,2.0,
6046,0,3.0,4.0,1.0,2.0,
6496,2,5.0,0.0,3.0,1.0,
6498,4,,,,,
6500,4,,,,,
6502,3,,,,,
6504,0,5.0,3.0,4.0,,
6505,0,2.0,3.0,1.0,5.0,
6507,0,4.0,2.0,,,
6509,0,2.0,,,,
6511,0,,,,,
6513,0,,,,,
6515,1,2.0,0.0,4.0,5.0,
6517,0,1.0,2.0,4.0,3.0,
6521,0,5.0,3.0,4.0,1.0,
6523,0,,,,,
6542,0,,,,,
6544,0,4.0,1.0,,,
6546,1,,,,,
6547,3,,,,,
6598,0,5.0,1.0,3.0,2.0,
6601,4,2.0,,,,
6602,0,,,,,
6605,1,4.0,5.0,,,
6606,5,4.0,2.0,,,
6608,0,1.0,3.0,,,
6610,0,1.0,,,,
6615,2,1.0,4.0,3.0,,
6617,2,0.0,4.0,,,
6619,0,1.0,2.0,4.0,3.0,
6621,2,3.0,1.0,0.0,4.0,
6623,0,1.0,5.0,3.0,,
6625,1,2.0,0.0,4.0,3.0,
6627,1,0.0,5.0,3.0,,
7008,2,4.0,0.0,5.0,3.0,
7009,0,2.0,3.0,5.0,1.0,
7011,4,1.0,0.0,3.0,5.0,
7014,1,0.0,,,,
7090,1,5.0,2.0,4.0,3.0,
7091,0,,,,,
7093,0,4.0,3.0,5.0,1.0,
7209,3,,,,,
7210,0,2.0,4.0,1.0,5.0,
7213,3,2.0,1.0,4.0,0.0,
7215,4,0.0,5.0,3.0,2.0,
7217,3,0.0,4.0,1.0,,
7219,1,,,,,
7771,3,5.0,0.0,1.0,,
7772,4,2.0,1.0,0.0,3.0,
7774,2,4.0,5.0,0.0,,
7776,4,0.0,3.0,,,
7778,1,4.0,0.0,5.0,,
7783,1,4.0,5.0,2.0,,
7786,2,1.0,,,,
7787,4,0.0,5.0,3.0,2.0,
7788,1,3.0,5.0,4.0,2.0,
8140,4,0.0,1.0,3.0,,
8142,1,3.0,,,,
8146,0,2.0,4.0,5.0,1.0,
8147,1,3.0,0.0,4.0,5.0,
8150,1,3.0,0.0,4.0,5.0,
8152,3,0.0,1.0,4.0,2.0,
8154,1,3.0,0.0,4.0,5.0,
8156,0,,,,,
8158,1,4.0,0.0,2.0,3.0,
8160,4,1.0,0.0,5.0,3.0,
8163,0,4.0,1.0,,,
8165,1,3.0,2.0,4.0,0.0,
8167,1,3.0,2.0,4.0,0.0,
8168,1,4.0,3.0,5.0,0.0,
8170,4,3.0,,,,
8172,1,3.0,,,,
8175,1,2.0,0.0,3.0,,
8642,0,5.0,3.0,4.0,1.0,
8645,2,,,,,
8647,2,0.0,1.0,4.0,,
8651,2,4.0,,,,
8653,0,,,,,
8710,1,0.0,4.0,5.0,2.0,
8713,1,0.0,,,,
8714,0,2.0,1.0,3.0,,
8717,0,3.0,1.0,5.0,2.0,
8719,0,4.0,,,,
8721,0,4.0,,,,
8723,3,5.0,4.0,1.0,0.0,
8725,1,2.0,4.0,5.0,,
8727,3,4.0,0.0,,,
8731,2,,,,,
8733,1,0.0,,,,
8735,1,4.0,0.0,5.0,3.0,
8738,1,3.0,2.0,4.0,0.0,
8741,0,2.0,1.0,,,
8742,0,2.0,1.0,,,
8975,0,,,,,
8977,0,,,,,
8980,0,,,,,
8981,0,4.0,1.0,2.0,3.0,
8983,0,2.0,5.0,4.0,1.0,
8986,2,0.0,1.0,5.0,3.0,
8988,0,4.0,1.0,2.0,3.0,
8990,0,4.0,1.0,2.0,3.0,
8992,4,3.0,2.0,1.0,0.0,
8994,0,4.0,1.0,2.0,3.0,
8996,1,0.0,,,,
9263,0,5.0,4.0,1.0,2.0,
9265,5,2.0,1.0,4.0,3.0,
9267,1,4.0,0.0,,,
9268,1,2.0,4.0,0.0,3.0,
9271,3,0.0,1.0,2.0,5.0,
9272,4,0.0,3.0,,,
9275,4,0.0,3.0,,,
9278,1,0.0,5.0,2.0,3.0,
9280,4,1.0,,,,
9282,3,4.0,0.0,,,
9284,0,3.0,,,,
9286,1,4.0,3.0,2.0,0.0,
9288,4,3.0,0.0,,,
9290,4,3.0,,,,
9291,3,4.0,0.0,,,
9294,4,,,,,
9575,0,4.0,1.0,,,
9577,0,,,,,
9579,2,3.0,1.0,4.0,0.0,
9581,3,0.0,2.0,4.0,1.0,
9888,4,2.0,,,,
9890,0,,,,,
9893,0,,,,,
9895,0,4.0,2.0,3.0,1.0,
9897,1,0.0,,,,
9900,5,,,,,
9902,0,,,,,
9954,0,3.0,5.0,1.0,2.0,
