,0,1,2,3,4,5
1,Write-In cells: 153,,,,,
2,Overvote cells: 116,,,,,
3,Heriberto Mateo: 0,,,,,
4,Darma V. Diaz: 1,,,,,
5,Sandy Nurse: 2,,,,,
6,Christopher Durosinmi: 3,,,,,
7,Rick Echevarria: 4,,,,,
8,Misba Abdin: 5,,,,,
1805,0,1.0,2.0,3.0,4.0,
1806,2,0.0,1.0,5.0,4.0,
1807,2,,,,,
1808,1,,,,,
3130,2,4.0,3.0,1.0,,
3131,2,,,,,
3133,2,,,,,
3134,2,4.0,,,,
3135,2,1.0,3.0,0.0,5.0,
3136,0,1.0,4.0,3.0,2.0,
3137,2,,,,,
3138,4,1.0,,,,
3568,2,3.0,0.0,1.0,4.0,
3569,2,0.0,3.0,1.0,4.0,
3570,2,4.0,,,,
3571,2,,,,,
3572,4,2.0,,,,
3686,2,,,,,
3687,1,2.0,,,,
3688,2,,,,,
3689,2,,,,,
3690,2,4.0,1.0,3.0,,
3691,2,1.0,3.0,0.0,5.0,
3692,2,4.0,3.0,1.0,5.0,
3693,2,1.0,3.0,0.0,5.0,
3694,2,1.0,,,,
3695,5,1.0,4.0,3.0,,
5238,4,1.0,0.0,2.0,,
5239,0,1.0,4.0,,,
5240,2,1.0,3.0,4.0,0.0,
5241,2,,,,,
5242,0,,,,,
5243,0,2.0,4.0,3.0,5.0,
5244,1,0.0,,,,
5245,4,0.0,5.0,,,
5377,2,,,,,
5378,1,2.0,,,,
5904,2,,,,,
5905,2,,,,,
5907,2,1.0,5.0,3.0,0.0,
5908,2,5.0,,,,
5909,2,1.0,5.0,3.0,0.0,
5910,1,,,,,
5911,4,,,,,
8225,2,,,,,
8226,2,,,,,
8227,2,,,,,
8228,1,2.0,0.0,5.0,,
8229,1,0.0,4.0,5.0,2.0,
8230,2,3.0,4.0,,,
8231,2,3.0,1.0,4.0,5.0,
8232,2,1.0,5.0,4.0,3.0,
8233,2,,,,,
8234,2,3.0,4.0,1.0,5.0,
8235,1,3.0,4.0,5.0,,
8236,1,2.0,5.0,3.0,0.0,
8237,2,3.0,1.0,5.0,,
8238,2,3.0,,,,
8239,2,1.0,,,,
8240,1,3.0,,,,
8243,2,,,,,
8244,2,4.0,3.0,1.0,5.0,
8455,2,4.0,3.0,,,
8456,1,,,,,
8457,2,,,,,
8458,2,,,,,
8459,2,1.0,,,,
8460,0,5.0,1.0,2.0,3.0,
8461,2,,,,,
8462,1,2.0,4.0,3.0,5.0,
8724,1,2.0,0.0,4.0,3.0,
8725,1,2.0,0.0,4.0,3.0,
8727,2,1.0,3.0,,,
8728,1,,,,,
8729,0,1.0,,,,
8730,1,2.0,4.0,,,
8732,2,1.0,5.0,4.0,0.0,
8733,1,2.0,,,,
8734,1,0.0,4.0,2.0,3.0,
8735,2,,,,,
8736,0,4.0,2.0,5.0,1.0,
9323,2,,,,,
9324,2,,,,,
9325,1,2.0,4.0,3.0,,
9326,2,4.0,3.0,,,
9327,2,,,,,
