precincts,tally_type,ballotID,rank1,rank2,rank3
450400,Vote by Mail - 400C,000029249,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
450400,Vote by Mail - 400C,000029250,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
450400,Vote by Mail - 400C,000029251,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
450400,Vote by Mail - 400C,000029252,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON
450400,Vote by Mail - 400C,000029253,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
450400,Vote by Mail - 400C,000029254,skipped,skipped,skipped
450400,Vote by Mail - 400C,000029255,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
450400,Vote by Mail - 400C,000029256,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
450400,Vote by Mail - 400C,000029257,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
450400,Vote by Mail - 400C,000029258,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,CORINA N. LOPEZ
450400,Vote by Mail - 400C,000029259,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON
450400,Vote by Mail - 400C,000029260,skipped,skipped,skipped
450400,Vote by Mail - 400C,000029261,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
450400,Vote by Mail - 400C,000029262,CORINA N. LOPEZ,skipped,skipped
450400,Vote by Mail - 400C,000029263,MAXINE OLIVER-BENSON,CORINA N. LOPEZ,skipped
450400,Vote by Mail - 400C,000029264,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
450400,Vote by Mail - 400C,000029265,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON
450400,Vote by Mail - 400C,000029266,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
450400,Vote by Mail - 400C,000029267,CORINA N. LOPEZ,skipped,skipped
450400,Vote by Mail - 400C,000029268,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
450400,Vote by Mail - 400C,000029269,CORINA N. LOPEZ,skipped,skipped
450400,Vote by Mail - 400C,000029270,CORINA N. LOPEZ,skipped,skipped
450400,Vote by Mail - 400C,000029271,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
450400,Vote by Mail - 400C,000029272,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
450400,Vote by Mail - 400C,000029273,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON,skipped
