ic, 4.436993210475267
mallows_001, 3.6169738118331716
mallows_01, 3.5447785321694147
mallows_05, 3.2154413191076623
mallows_1, 2.7895182670546395
mallows_25, 1.5897057872615583
mallows_5, 1.4685418687358553
mallows_75, 2.951800840607824
mallows_95, 4.244487552537989
mallows_99, 4.417866149369544
mallows_999, 4.43877141933398
spoc_conitzer, 4.443524086647268
walsh, 2.7162366634335595
sc, 2.4147365017782088
urn_01, 4.0578208858713225
urn_02, 3.8239702554154547
urn_05, 3.4419204655674105
urn_1, 3.039838344649208
urn_2, 2.856786291626253
urn_5, 2.7366246362754607
5d_sphere, 4.206479146459748
2d_sphere, 4.385418687358552
3d_sphere, 4.270837374717104
csp, 3.766537342386033
1d_interval, 3.5256062075654704
2d_square, 2.9924862592951826
3d_cube, 2.861079857743291
5d_cube, 2.68349175557711
10d_cube, 2.8095699967668932
20d_cube, 2.942192046556741
