ic, 4.089444954971512
mallows_001, 7.780358390001838
mallows_01, 7.69002756846168
mallows_05, 7.276682595111192
mallows_1, 6.734519389818049
mallows_25, 4.985991545671752
mallows_5, 2.2306120198492927
mallows_75, 1.676513508546223
mallows_95, 3.686496967469215
mallows_99, 4.0476530049623225
mallows_999, 4.091292041904062
spoc_conitzer, 4.087588678551737
walsh, 3.4538044477118177
sc, 2.935578018746554
urn_01, 3.411255283955155
urn_02, 3.1682411321448263
urn_05, 2.8344771181768054
urn_1, 2.6831501562212825
urn_2, 3.014855725050542
urn_5, 3.8745965815107515
5d_sphere, 3.836394045212277
2d_sphere, 4.184232677816578
3d_sphere, 3.9634221650431902
csp, 3.7221393126263553
