ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
92506_00018_000008,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"Merrick, Kelly R.",skipped,skipped
92506_00018_000009,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"McCarty, Ken","Merrick, Kelly R.",skipped
92506_00018_000010,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"McCarty, Ken",Write-in,"Merrick, Kelly R."
92506_00018_000011,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"Merrick, Kelly R.","McCarty, Ken",skipped
92506_00018_000012,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"McCarty, Ken",skipped,skipped
92506_00018_000013,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"McCarty, Ken",skipped,skipped
92506_00018_000014,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,skipped,skipped,skipped
92506_00018_000015,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"Merrick, Kelly R.","McCarty, Ken",skipped
92506_00018_000016,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"McCarty, Ken","Merrick, Kelly R.",skipped
92506_00018_000017,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,overvote,skipped,skipped
92506_00018_000018,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"Merrick, Kelly R.",skipped,skipped
92506_00018_000019,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"McCarty, Ken","Merrick, Kelly R.",skipped
92506_00018_000020,Ballot 24 - Type 24,Question,Judicial District 3,Judicial,District 23  - Question,District 23  - Question,Region II,"Merrick, Kelly R.","McCarty, Ken",skipped
