ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
92607_00001_000001,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000002,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000003,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000004,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000005,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000006,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000007,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000008,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000009,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000010,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000011,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000012,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000013,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000014,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000015,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000016,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000017,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000018,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92607_00001_000019,Ballot 10 - Type 10,Question,Judicial District 3,Judicial,District 9  - Question,District 9  - Question,Region II,skipped,skipped,skipped,skipped
92506_00002_000001,Ballot 11 - Type 11,Question,Judicial District 3,Judicial,District 10  - Question,District 10  - Question,Region II,"Cacy, Roselynn","Giessel, Cathy","Holland, Roger",skipped
92506_00002_000002,Ballot 11 - Type 11,Question,Judicial District 3,Judicial,District 10  - Question,District 10  - Question,Region II,"Holland, Roger","Giessel, Cathy",skipped,skipped
92506_00002_000003,Ballot 11 - Type 11,Question,Judicial District 3,Judicial,District 10  - Question,District 10  - Question,Region II,skipped,skipped,skipped,skipped
92506_00002_000004,Ballot 11 - Type 11,Question,Judicial District 3,Judicial,District 10  - Question,District 10  - Question,Region II,"Cacy, Roselynn","Holland, Roger","Giessel, Cathy",skipped
92506_00002_000005,Ballot 11 - Type 11,Question,Judicial District 3,Judicial,District 10  - Question,District 10  - Question,Region II,"Giessel, Cathy",skipped,skipped,skipped
