ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
95306_00005_000011,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Clayton, Scott D.","Wilson, David S.","Wright, Stephen",skipped
95306_00005_000012,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Clayton, Scott D.","Wilson, David S.","Wright, Stephen",skipped
95306_00005_000013,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Wright, Stephen",skipped,skipped,skipped
95306_00005_000014,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Wright, Stephen","Clayton, Scott D.","Wilson, David S.",skipped
95306_00005_000015,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Wilson, David S.","Clayton, Scott D.","Wright, Stephen",skipped
95306_00005_000016,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Clayton, Scott D.",skipped,skipped,skipped
95306_00005_000017,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,skipped,skipped,skipped,skipped
95306_00005_000018,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Wilson, David S.","Clayton, Scott D.",skipped,skipped
95306_00005_000019,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Wright, Stephen",skipped,skipped,skipped
95306_00005_000020,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Clayton, Scott D.","Wright, Stephen","Wilson, David S.",skipped
95306_00005_000021,Ballot 28 - Type 28,Question,Judicial District 3,Judicial,District 27  - Question,District 27  - Question,Region V,"Wright, Stephen",skipped,skipped,skipped
