ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4
93200_00054_000030,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Jafre, Alex N.",skipped,skipped
93200_00054_000031,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000032,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000033,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000034,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000035,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim",skipped,skipped,skipped
93200_00054_000036,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim","Jafre, Alex N.",skipped
93200_00054_000037,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Jafre, Alex N.",skipped,skipped,skipped
93200_00054_000038,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000039,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000040,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Jafre, Alex N.","Kawasaki, Scott",skipped
93200_00054_000041,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Jafre, Alex N.",Write-in,skipped
93200_00054_000042,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Jafre, Alex N.","Kawasaki, Scott","Matherly, Jim",skipped
93200_00054_000043,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000044,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Jafre, Alex N.",skipped,skipped
93200_00054_000045,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim","Jafre, Alex N.",skipped
93200_00054_000046,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim","Jafre, Alex N.",skipped
93200_00054_000047,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim",skipped,skipped
93200_00054_000048,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Jafre, Alex N.","Matherly, Jim",skipped,skipped
93200_00054_000049,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Kawasaki, Scott","Jafre, Alex N.",skipped
93200_00054_000050,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000051,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Kawasaki, Scott","Jafre, Alex N.",skipped
93200_00054_000052,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000053,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000054,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Jafre, Alex N.",skipped,skipped
93200_00054_000055,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott","Matherly, Jim","Jafre, Alex N.",skipped
93200_00054_000056,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim","Kawasaki, Scott","Jafre, Alex N.",skipped
93200_00054_000057,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim",skipped,skipped,skipped
93200_00054_000058,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Kawasaki, Scott",skipped,skipped,skipped
93200_00054_000059,Ballot 33 - Type 33,Absentee,Judicial District 4,Judicial,District 31 - Absentee,District 31 - Absentee,Region III,"Matherly, Jim",skipped,skipped,skipped
