ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3
30565_00000_467533,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_471218,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_474787,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",skipped,skipped
30565_00000_482090,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_504125,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_505004,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_517576,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_523608,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Shower, Michael K.","Massie, Doug A.",skipped
30565_00000_545720,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_548257,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_551043,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",skipped,skipped
30565_00000_566595,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_569639,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",Write-in,skipped
30565_00000_572711,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_611888,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_614947,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",skipped,skipped
30565_00000_630315,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_633489,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_648902,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_687478,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",skipped,skipped
30565_00000_695869,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,Write-in,skipped,skipped
30565_00000_714963,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Shower, Michael K.",skipped,skipped
30565_00000_733470,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Shower, Michael K.",skipped,skipped
30565_00000_736367,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",Write-in,skipped
30565_00000_780332,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,Write-in,skipped,skipped
30565_00000_795880,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_798944,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_806026,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_812538,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_825509,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_849231,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_853149,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Shower, Michael K.","Massie, Doug A.",skipped
30565_00000_868692,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_877773,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_889158,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_913981,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_925388,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",skipped,skipped
30565_00000_934462,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.",skipped,skipped
30565_00000_949920,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Massie, Doug A.","Shower, Michael K.",skipped
30565_00000_953778,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
30565_00000_981379,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,"Shower, Michael K.",skipped,skipped
30565_00000_996842,Ballot 31 - Type 31,Election Day,Judicial District 4,Judicial,30-565 Denali Park,30-565 Denali Park,Region V,skipped,skipped,skipped
93600_00042_000001,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,skipped,skipped,skipped
93600_00042_000002,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,skipped,skipped,skipped
93600_00042_000003,Ballot 31 - Type 31,Early Voting,Judicial District 4,Judicial,District 30 - Early Voting,District 30 - Early Voting - 2,Region III,skipped,skipped,skipped
93600_00042_000004,Ballot 31 - Type 31,Early Voting,Judicial District 4,Judicial,District 30 - Early Voting,District 30 - Early Voting - 2,Region III,skipped,skipped,skipped
93600_00042_000005,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Massie, Doug A.","Shower, Michael K.",skipped
93600_00042_000006,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Massie, Doug A.","Shower, Michael K.",skipped
93600_00042_000007,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Massie, Doug A.","Shower, Michael K.",skipped
93600_00042_000008,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Shower, Michael K.","Massie, Doug A.",Write-in
93600_00042_000009,Ballot 31 - Type 31,Early Voting,Judicial District 4,Judicial,District 30 - Early Voting,District 30 - Early Voting - 2,Region III,"Massie, Doug A.",skipped,skipped
93600_00042_000010,Ballot 31 - Type 31,Early Voting,Judicial District 4,Judicial,District 30 - Early Voting,District 30 - Early Voting - 2,Region III,"Massie, Doug A.","Shower, Michael K.",skipped
93600_00042_000011,Ballot 31 - Type 31,Early Voting,Judicial District 4,Judicial,District 30 - Early Voting,District 30 - Early Voting - 2,Region III,skipped,skipped,skipped
93600_00042_000012,Ballot 31 - Type 31,Early Voting,Judicial District 4,Judicial,District 30 - Early Voting,District 30 - Early Voting - 2,Region III,Write-in,skipped,skipped
93600_00042_000013,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Shower, Michael K.","Massie, Doug A.",skipped
93600_00042_000014,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Shower, Michael K.",skipped,skipped
93600_00042_000015,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Shower, Michael K.",skipped,skipped
93600_00042_000016,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Massie, Doug A.","Shower, Michael K.",skipped
93600_00042_000017,Ballot 32 - Type 32,Early Voting,Judicial District 3,Judicial,District 30 - Early Voting,District 30 - Early Voting - 1,Region III,"Massie, Doug A.","Shower, Michael K.",skipped
93600_00041_000001,Ballot 30 - Type 30,Early Voting,Judicial District 3,Judicial,District 29 - Early Voting,District 29 - Early Voting,Region III,"Massie, Doug A.",skipped,skipped
93600_00041_000002,Ballot 30 - Type 30,Early Voting,Judicial District 3,Judicial,District 29 - Early Voting,District 29 - Early Voting,Region III,"Massie, Doug A.","Shower, Michael K.",skipped
93600_00041_000003,Ballot 30 - Type 30,Early Voting,Judicial District 3,Judicial,District 29 - Early Voting,District 29 - Early Voting,Region III,skipped,skipped,skipped
93600_00041_000004,Ballot 30 - Type 30,Early Voting,Judicial District 3,Judicial,District 29 - Early Voting,District 29 - Early Voting,Region III,"Massie, Doug A.",skipped,skipped
93600_00041_000005,Ballot 30 - Type 30,Early Voting,Judicial District 3,Judicial,District 29 - Early Voting,District 29 - Early Voting,Region III,"Shower, Michael K.","Massie, Doug A.",skipped
93600_00041_000006,Ballot 30 - Type 30,Early Voting,Judicial District 3,Judicial,District 29 - Early Voting,District 29 - Early Voting,Region III,"Massie, Doug A.","Shower, Michael K.",skipped
