precincts,tally_type,ballotID,rank1,rank2,rank3
345400,Vote by Mail - 400C,000142886,NAYELI MAXSON,JOSEPH TANIOS,CHARLIE MICHELSON
345400,Vote by Mail - 400C,000142887,SHENG THAO,CHARLIE MICHELSON,PAM HARRIS
345400,Vote by Mail - 400C,000142888,PAM HARRIS,PAM HARRIS,PAM HARRIS
345400,Vote by Mail - 400C,000142889,SHENG THAO,NAYELI MAXSON,skipped
345400,Vote by Mail - 400C,000142890,PAM HARRIS,NAYELI MAXSON,MATT HUMMEL
345400,Vote by Mail - 400C,000142891,SHENG THAO,JOSEPH TANIOS,JOSEPH E. SIMMONS
345400,Vote by Mail - 400C,000142892,NAYELI MAXSON,JOSEPH TANIOS,SHENG THAO
345400,Vote by Mail - 400C,000142893,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345400,Vote by Mail - 400C,000142894,NAYELI MAXSON,PAM HARRIS,SHENG THAO
345400,Vote by Mail - 400C,000142895,NAYELI MAXSON,SHENG THAO,PAM HARRIS
345400,Vote by Mail - 400C,000142896,NAYELI MAXSON,PAM HARRIS,skipped
345400,Vote by Mail - 400C,000142897,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345400,Vote by Mail - 400C,000142898,NAYELI MAXSON,PAM HARRIS,skipped
345400,Vote by Mail - 400C,000142899,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345400,Vote by Mail - 400C,000142900,PAM HARRIS,SHENG THAO,NAYELI MAXSON
345400,Vote by Mail - 400C,000142901,SHENG THAO,NAYELI MAXSON,JOSEPH TANIOS
345400,Vote by Mail - 400C,000142902,skipped,skipped,skipped
345400,Vote by Mail - 400C,000142903,SHENG THAO,NAYELI MAXSON,skipped
345400,Vote by Mail - 400C,000142904,SHENG THAO,PAM HARRIS,JOSEPH E. SIMMONS
345400,Vote by Mail - 400C,000142905,PAM HARRIS,NAYELI MAXSON,MATT HUMMEL
345400,Vote by Mail - 400C,000142906,SHENG THAO,skipped,skipped
345400,Vote by Mail - 400C,000142907,SHENG THAO,CHARLIE MICHELSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142908,SHENG THAO,CHARLIE MICHELSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142909,SHENG THAO,NAYELI MAXSON,SHENG THAO
345400,Vote by Mail - 400C,000142910,CHARLIE MICHELSON,PAM HARRIS,PAM HARRIS
345400,Vote by Mail - 400C,000142911,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142912,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142913,CHARLIE MICHELSON,CHARLIE MICHELSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142914,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142915,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142916,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345400,Vote by Mail - 400C,000142917,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345400,Vote by Mail - 400C,000142918,PAM HARRIS,NAYELI MAXSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142919,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345400,Vote by Mail - 400C,000142920,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345400,Vote by Mail - 400C,000142921,CHARLIE MICHELSON,JOSEPH E. SIMMONS,SHENG THAO
345400,Vote by Mail - 400C,000142922,PAM HARRIS,SHENG THAO,skipped
345400,Vote by Mail - 400C,000142923,CHARLIE MICHELSON,NAYELI MAXSON,JOSEPH TANIOS
345400,Vote by Mail - 400C,000142924,SHENG THAO,NAYELI MAXSON,skipped
345400,Vote by Mail - 400C,000142925,SHENG THAO,PAM HARRIS,NAYELI MAXSON
345400,Vote by Mail - 400C,000142926,JOSEPH E. SIMMONS,PAM HARRIS,SHENG THAO
345400,Vote by Mail - 400C,000142927,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345400,Vote by Mail - 400C,000142928,PAM HARRIS,JOSEPH E. SIMMONS,CHARLIE MICHELSON
345400,Vote by Mail - 400C,000142929,PAM HARRIS,JOSEPH E. SIMMONS,SHENG THAO
345400,Vote by Mail - 400C,000142930,PAM HARRIS,NAYELI MAXSON,SHENG THAO
345400,Vote by Mail - 400C,000142931,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345400,Vote by Mail - 400C,000142932,MATT HUMMEL,PAM HARRIS,NAYELI MAXSON
345400,Vote by Mail - 400C,000142933,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345400,Vote by Mail - 400C,000142934,SHENG THAO,skipped,skipped
345400,Vote by Mail - 400C,000142935,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
345400,Vote by Mail - 400C,000142936,JOSEPH E. SIMMONS,skipped,skipped
345400,Vote by Mail - 400C,000142937,SHENG THAO,NAYELI MAXSON,PAM HARRIS
345400,Vote by Mail - 400C,000142938,PAM HARRIS,PAM HARRIS,PAM HARRIS
224800,Vote by Mail - 400C,000145191,SHENG THAO,SHENG THAO,SHENG THAO
224800,Vote by Mail - 400C,000145192,SHENG THAO,SHENG THAO,SHENG THAO
224800,Vote by Mail - 400C,000145193,SHENG THAO,NAYELI MAXSON,PAM HARRIS
224800,Vote by Mail - 400C,000145194,CHARLIE MICHELSON,NAYELI MAXSON,SHENG THAO
224800,Vote by Mail - 400C,000145195,CHARLIE MICHELSON,NAYELI MAXSON,SHENG THAO
224800,Vote by Mail - 400C,000145196,SHENG THAO,CHARLIE MICHELSON,skipped
224800,Vote by Mail - 400C,000145197,NAYELI MAXSON,MATT HUMMEL,CHARLIE MICHELSON
224800,Vote by Mail - 400C,000145198,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145199,PAM HARRIS,NAYELI MAXSON,SHENG THAO
224800,Vote by Mail - 400C,000145200,PAM HARRIS,NAYELI MAXSON,SHENG THAO
224800,Vote by Mail - 400C,000145201,PAM HARRIS,SHENG THAO,NAYELI MAXSON
224800,Vote by Mail - 400C,000145202,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145203,NAYELI MAXSON,MATT HUMMEL,JOSEPH TANIOS
224800,Vote by Mail - 400C,000145204,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145205,SHENG THAO,skipped,skipped
224800,Vote by Mail - 400C,000145206,NAYELI MAXSON,MATT HUMMEL,JOSEPH TANIOS
224800,Vote by Mail - 400C,000145207,SHENG THAO,PAM HARRIS,NAYELI MAXSON
224800,Vote by Mail - 400C,000145208,PAM HARRIS,NAYELI MAXSON,CHARLIE MICHELSON
224800,Vote by Mail - 400C,000145209,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145210,MATT HUMMEL,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145211,SHENG THAO,PAM HARRIS,JOSEPH E. SIMMONS
224800,Vote by Mail - 400C,000145212,PAM HARRIS,skipped,skipped
224800,Vote by Mail - 400C,000145213,NAYELI MAXSON,PAM HARRIS,SHENG THAO
224800,Vote by Mail - 400C,000145214,PAM HARRIS,NAYELI MAXSON,MATT HUMMEL
224800,Vote by Mail - 400C,000145215,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145216,SHENG THAO,PAM HARRIS,NAYELI MAXSON
224800,Vote by Mail - 400C,000145217,PAM HARRIS,NAYELI MAXSON,SHENG THAO
224800,Vote by Mail - 400C,000145218,PAM HARRIS,SHENG THAO,NAYELI MAXSON
224800,Vote by Mail - 400C,000145219,NAYELI MAXSON,SHENG THAO,CHARLIE MICHELSON
224800,Vote by Mail - 400C,000145220,NAYELI MAXSON,SHENG THAO,CHARLIE MICHELSON
224800,Vote by Mail - 400C,000145221,SHENG THAO,SHENG THAO,SHENG THAO
224800,Vote by Mail - 400C,000145222,SHENG THAO,SHENG THAO,SHENG THAO
224800,Vote by Mail - 400C,000145223,NAYELI MAXSON,PAM HARRIS,SHENG THAO
224800,Vote by Mail - 400C,000145224,CHARLIE MICHELSON,CHARLIE MICHELSON,CHARLIE MICHELSON
224800,Vote by Mail - 400C,000145225,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145226,PAM HARRIS,SHENG THAO,NAYELI MAXSON
224800,Vote by Mail - 400C,000145227,PAM HARRIS,SHENG THAO,NAYELI MAXSON
224800,Vote by Mail - 400C,000145228,CHARLIE MICHELSON,NAYELI MAXSON,SHENG THAO
224800,Vote by Mail - 400C,000145229,SHENG THAO,PAM HARRIS,NAYELI MAXSON
224800,Vote by Mail - 400C,000145230,JOSEPH E. SIMMONS,JOSEPH E. SIMMONS,JOSEPH E. SIMMONS
224800,Vote by Mail - 400C,000145231,NAYELI MAXSON,SHENG THAO,PAM HARRIS
224800,Vote by Mail - 400C,000145232,JOSEPH E. SIMMONS,JOSEPH E. SIMMONS,JOSEPH E. SIMMONS
224800,Vote by Mail - 400C,000145233,NAYELI MAXSON,SHENG THAO,skipped
224800,Vote by Mail - 400C,000145234,skipped,skipped,skipped
