,0,1,2,3,4
1,Write-In cells: 129,,,,
2,Overvote cells: 15,,,,
3,MATT PERRY: 0,,,,
4,LINEA PALMISANO: 1,,,,
5,MISSY DURANT: 2,,,,
6,BOB REUER: 3,,,,
7,DAVID REGAN: 4,,,,
8,0,,,,
9,0,1.0,2.0,,
10,1,2.0,,,
11,1,0.0,,,
12,1,2.0,,,
13,0,,,,
14,1,2.0,0.0,,
15,0,2.0,1.0,,
16,0,1.0,2.0,,
17,3,0.0,1.0,,
18,0,1.0,2.0,,
19,0,1.0,,,
20,1,2.0,0.0,,
21,1,,,,
22,3,,,,
23,1,2.0,0.0,,
24,0,2.0,3.0,,
25,1,0.0,2.0,,
26,1,0.0,,,
27,0,3.0,2.0,,
28,1,0.0,,,
29,1,3.0,4.0,,
30,0,,,,
31,0,1.0,2.0,,
32,2,0.0,1.0,,
33,1,2.0,0.0,,
34,1,0.0,2.0,,
35,2,0.0,1.0,,
36,1,0.0,2.0,,
37,2,,,,
38,2,1.0,,,
39,1,3.0,4.0,,
40,0,1.0,,,
41,0,,,,
42,0,1.0,,,
43,1,,,,
44,3,0.0,,,
45,1,0.0,,,
46,0,,,,
47,0,1.0,,,
48,0,1.0,2.0,,
49,1,2.0,0.0,,
50,0,1.0,2.0,,
51,3,4.0,0.0,,
52,1,0.0,,,
53,3,4.0,2.0,,
54,1,0.0,2.0,,
55,1,0.0,2.0,,
56,1,0.0,3.0,,
57,0,2.0,,,
58,2,1.0,0.0,,
59,0,1.0,,,
60,1,2.0,,,
61,0,2.0,1.0,,
62,0,1.0,2.0,,
63,0,1.0,,,
64,1,0.0,2.0,,
65,1,0.0,,,
66,0,1.0,3.0,,
67,1,0.0,2.0,,
69,3,4.0,,,
70,1,0.0,2.0,,
71,0,1.0,2.0,,
72,0,2.0,,,
73,0,3.0,4.0,,
74,3,,,,
75,0,1.0,2.0,,
76,3,,,,
77,1,0.0,2.0,,
78,1,,,,
79,2,3.0,4.0,,
80,0,1.0,2.0,,
81,1,0.0,2.0,,
82,2,0.0,1.0,,
83,2,,,,
84,0,1.0,3.0,,
85,3,4.0,,,
86,0,2.0,1.0,,
87,1,2.0,0.0,,
88,0,1.0,2.0,,
89,0,2.0,1.0,,
90,1,0.0,2.0,,
91,0,1.0,,,
92,1,,,,
93,0,1.0,2.0,,
94,1,2.0,,,
95,0,1.0,2.0,,
96,0,2.0,1.0,,
97,1,,,,
98,0,1.0,2.0,,
99,0,1.0,3.0,,
100,1,2.0,0.0,,
101,1,0.0,2.0,,
102,0,2.0,1.0,,
103,0,2.0,1.0,,
104,1,2.0,,,
105,1,0.0,,,
106,3,1.0,,,
108,2,4.0,3.0,,
109,0,,,,
110,1,0.0,2.0,,
111,3,0.0,1.0,,
112,0,1.0,2.0,,
113,1,0.0,2.0,,
114,2,0.0,,,
115,0,1.0,2.0,,
116,0,2.0,1.0,,
117,3,4.0,,,
118,1,2.0,,,
119,3,,,,
120,0,1.0,,,
121,2,0.0,1.0,,
122,1,0.0,2.0,,
123,1,0.0,2.0,,
124,2,1.0,0.0,,
125,0,,,,
126,0,,,,
127,2,0.0,3.0,,
128,1,,,,
129,0,1.0,2.0,,
130,1,2.0,,,
131,0,1.0,2.0,,
132,1,,,,
133,3,4.0,,,
134,2,0.0,1.0,,
135,1,0.0,2.0,,
136,1,2.0,0.0,,
137,1,0.0,2.0,,
138,2,1.0,0.0,,
139,2,,,,
140,0,,,,
141,1,0.0,2.0,,
142,1,0.0,2.0,,
143,0,1.0,,,
144,0,1.0,,,
145,0,1.0,2.0,,
146,2,1.0,0.0,,
147,1,0.0,,,
148,1,0.0,2.0,,
149,1,2.0,,,
150,0,1.0,2.0,,
151,1,,,,
152,2,0.0,1.0,,
153,1,2.0,0.0,,
154,0,,,,
156,2,1.0,4.0,,
157,0,,,,
158,2,0.0,1.0,,
159,1,,,,
160,1,,,,
161,1,0.0,2.0,,
162,3,4.0,,,
163,1,,,,
164,1,0.0,,,
165,0,1.0,2.0,,
166,1,0.0,2.0,,
167,4,1.0,3.0,,
168,1,0.0,,,
169,2,1.0,0.0,,
170,0,2.0,1.0,,
172,0,2.0,1.0,,
173,1,0.0,2.0,,
174,2,1.0,,,
175,1,,,,
176,0,,,,
177,1,0.0,2.0,,
178,3,4.0,2.0,,
179,0,,,,
180,0,,,,
181,1,0.0,2.0,,
182,0,1.0,2.0,,
183,1,,,,
184,1,2.0,0.0,,
185,1,2.0,0.0,,
186,0,2.0,1.0,,
187,0,3.0,2.0,,
188,0,1.0,2.0,,
189,0,1.0,2.0,,
190,1,0.0,2.0,,
191,2,1.0,0.0,,
