precinct,rank1,rank2,rank3
2001-06-08,writein,Scott Vreeland,Mike Wendorf
2001-09-04,writein,writein,writein
2001-08-03,writein,skipped,skipped
2001-09-05,writein,skipped,skipped
2001-12-01,writein,writein,skipped
2001-09-03,writein,Mike Wendorf,Scott Vreeland
2001-08-01,writein,Mike Wendorf,Scott Vreeland
2001-09-01,writein,skipped,skipped
2001-09-09,writein,skipped,skipped
2001-09-09,writein,skipped,skipped
2001-09-04,writein,skipped,skipped
2001-06-05,writein,writein,writein
2001-02-01,writein,Mike Wendorf,Scott Vreeland
2001-09-05,writein,skipped,skipped
2001-02-02,writein,Scott Vreeland,writein
2001-06-06,writein,skipped,skipped
2001-09-02,writein,skipped,skipped
2001-09-02,writein,skipped,skipped
2001-08-01,writein,Mike Wendorf,Scott Vreeland
2001-08-01,writein,Mike Wendorf,skipped
2001-09-09,writein,writein,skipped
2001-06-06,writein,writein,writein
2001-02-01,writein,writein,Mike Wendorf
2001-06-05,writein,skipped,skipped
2001-08-01,writein,writein,writein
2001-02-01,writein,Scott Vreeland,writein
2001-08-01,writein,skipped,skipped
2001-09-06,writein,skipped,skipped
2001-02-01,writein,Scott Vreeland,Mike Wendorf
2001-09-06,writein,skipped,skipped
2001-12-01,writein,skipped,skipped
2001-06-06,writein,Scott Vreeland,writein
2001-06-06,writein,Scott Vreeland,Mike Wendorf
2001-09-10,writein,Scott Vreeland,Mike Wendorf
2001-06-06,writein,Scott Vreeland,skipped
2001-09-03,writein,Scott Vreeland,skipped
2001-09-03,writein,Scott Vreeland,skipped
2001-09-03,writein,Scott Vreeland,skipped
2001-09-03,writein,Scott Vreeland,skipped
2001-09-04,writein,Scott Vreeland,skipped
2001-09-04,writein,Scott Vreeland,skipped
2001-09-04,writein,Scott Vreeland,skipped
2001-09-04,writein,Scott Vreeland,skipped
2001-09-04,writein,Scott Vreeland,skipped
2001-09-04,writein,Scott Vreeland,skipped
2001-09-10,writein,Scott Vreeland,skipped
2001-09-10,writein,Scott Vreeland,skipped
2001-09-04,writein,Mike Wendorf,Scott Vreeland
2001-09-10,writein,Mike Wendorf,skipped
2001-09-03,writein,skipped,skipped
2001-09-03,writein,skipped,skipped
2001-09-04,writein,skipped,skipped
2001-09-05,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-10,writein,skipped,skipped
2001-09-06,writein,skipped,skipped
2001-08-03,writein,skipped,skipped
2001-12-01,writein,skipped,skipped
2001-09-04,Scott Vreeland,writein,writein
2001-02-02,Scott Vreeland,writein,skipped
