precinct,rank1,rank2,rank3
MINNEAPOLIS W-8 P-07,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-8 P-07,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-07,BRAD BOURN,BRAD BOURN,JOSH NEIMAN
MINNEAPOLIS W-13 P-04,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-10 P-04,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-10 P-05A,JOSH NEIMAN,skipped,skipped
MINNEAPOLIS W-13 P-08,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-02,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-13 P-06,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-8 P-07,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-10 P-05A,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-8 P-06,skipped,skipped,skipped
MINNEAPOLIS W-13 P-04,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,skipped,skipped
MINNEAPOLIS W-11 P-03,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,JOSH NEIMAN
MINNEAPOLIS W-8 P-07,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-06,skipped,skipped,skipped
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,BRAD BOURN,skipped
MINNEAPOLIS W-13 P-03,writein,skipped,skipped
MINNEAPOLIS W-11 P-01,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-10 P-04,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,writein
MINNEAPOLIS W-11 P-01,skipped,skipped,skipped
MINNEAPOLIS W-13 P-06,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-8 P-06,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-8 P-07,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-10 P-05A,skipped,skipped,skipped
MINNEAPOLIS W-13 P-02,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-11 P-02,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-10 P-04,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-09,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-8 P-02,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-07,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,skipped,skipped
MINNEAPOLIS W-13 P-01,skipped,skipped,skipped
MINNEAPOLIS W-13 P-01,skipped,skipped,skipped
MINNEAPOLIS W-13 P-02,skipped,skipped,skipped
MINNEAPOLIS W-8 P-06,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-13 P-04,skipped,skipped,skipped
MINNEAPOLIS W-8 P-07,writein,writein,writein
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-13 P-08,skipped,skipped,skipped
MINNEAPOLIS W-13 P-02,skipped,skipped,skipped
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,JOSH NEIMAN,JOSH NEIMAN
MINNEAPOLIS W-8 P-01,skipped,skipped,skipped
MINNEAPOLIS W-13 P-03,JOSH NEIMAN,skipped,skipped
MINNEAPOLIS W-11 P-02,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,skipped,skipped,skipped
MINNEAPOLIS W-13 P-02,skipped,skipped,skipped
MINNEAPOLIS W-8 P-06,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,skipped,skipped
MINNEAPOLIS W-8 P-01,skipped,skipped,skipped
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-11 P-01,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-07,skipped,skipped,skipped
MINNEAPOLIS W-10 P-04,JOSH NEIMAN,BRAD BOURN,skipped
MINNEAPOLIS W-10 P-05A,skipped,skipped,skipped
MINNEAPOLIS W-8 P-07,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-8 P-06,skipped,skipped,skipped
MINNEAPOLIS W-10 P-06,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,BRAD BOURN,skipped
MINNEAPOLIS W-13 P-09,skipped,skipped,skipped
MINNEAPOLIS W-8 P-02,JOSH NEIMAN,BRAD BOURN,skipped
MINNEAPOLIS W-13 P-04,skipped,skipped,skipped
MINNEAPOLIS W-11 P-01,skipped,skipped,skipped
MINNEAPOLIS W-13 P-05,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-08,BRAD BOURN,JOSH NEIMAN,skipped
MINNEAPOLIS W-8 P-06,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-08,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-11 P-01,skipped,skipped,skipped
MINNEAPOLIS W-13 P-04,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,skipped,skipped,skipped
MINNEAPOLIS W-13 P-07,BRAD BOURN,skipped,skipped
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,skipped,skipped
MINNEAPOLIS W-13 P-08,skipped,skipped,skipped
MINNEAPOLIS W-13 P-02,BRAD BOURN,skipped,skipped
