precinct,rank1,rank2,rank3
2001-03-01,Bernie Kunza,John Malone,Liz Wielinski
2001-03-01,Bernie Kunza,John Malone,Liz Wielinski
2001-03-02,Bernie Kunza,John Malone,Liz Wielinski
2001-03-02,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-03,Bernie Kunza,John Malone,Liz Wielinski
2001-03-04,Bernie Kunza,John Malone,Liz Wielinski
2001-03-04,Bernie Kunza,John Malone,Liz Wielinski
2001-03-04,Bernie Kunza,John Malone,Liz Wielinski
2001-03-04,Bernie Kunza,John Malone,Liz Wielinski
2001-03-04,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-05,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-03-06,Bernie Kunza,John Malone,Liz Wielinski
2001-01-01,Bernie Kunza,John Malone,skipped
2001-01-01,Bernie Kunza,John Malone,skipped
2001-01-01,Bernie Kunza,John Malone,skipped
2001-01-02,Bernie Kunza,John Malone,skipped
2001-01-02,Bernie Kunza,John Malone,skipped
2001-01-02,Bernie Kunza,John Malone,skipped
2001-01-02,Bernie Kunza,John Malone,skipped
2001-01-03,Bernie Kunza,John Malone,skipped
2001-01-03,Bernie Kunza,John Malone,skipped
2001-01-03,Bernie Kunza,John Malone,skipped
2001-01-03,Bernie Kunza,John Malone,skipped
2001-01-03,Bernie Kunza,John Malone,skipped
2001-01-03,Bernie Kunza,John Malone,skipped
2001-01-04,Bernie Kunza,John Malone,skipped
2001-01-04,Bernie Kunza,John Malone,skipped
2001-01-05,Bernie Kunza,John Malone,skipped
2001-01-05,Bernie Kunza,John Malone,skipped
2001-01-05,Bernie Kunza,John Malone,skipped
2001-01-05,Bernie Kunza,John Malone,skipped
2001-01-06,Bernie Kunza,John Malone,skipped
2001-01-06,Bernie Kunza,John Malone,skipped
2001-01-06,Bernie Kunza,John Malone,skipped
2001-01-06,Bernie Kunza,John Malone,skipped
2001-01-06,Bernie Kunza,John Malone,skipped
2001-01-06,Bernie Kunza,John Malone,skipped
2001-01-07,Bernie Kunza,John Malone,skipped
2001-01-08,Bernie Kunza,John Malone,skipped
2001-01-08,Bernie Kunza,John Malone,skipped
2001-01-08,Bernie Kunza,John Malone,skipped
2001-01-08,Bernie Kunza,John Malone,skipped
2001-01-08,Bernie Kunza,John Malone,skipped
2001-01-08,Bernie Kunza,John Malone,skipped
2001-01-09,Bernie Kunza,John Malone,skipped
2001-01-10,Bernie Kunza,John Malone,skipped
2001-01-10,Bernie Kunza,John Malone,skipped
2001-01-10,Bernie Kunza,John Malone,skipped
2001-01-10,Bernie Kunza,John Malone,skipped
2001-01-10,Bernie Kunza,John Malone,skipped
2001-02-03,Bernie Kunza,John Malone,skipped
2001-02-03,Bernie Kunza,John Malone,skipped
2001-02-03,Bernie Kunza,John Malone,skipped
2001-02-11,Bernie Kunza,John Malone,skipped
2001-03-02,Bernie Kunza,John Malone,skipped
2001-03-02,Bernie Kunza,John Malone,skipped
2001-03-02,Bernie Kunza,John Malone,skipped
2001-03-04,Bernie Kunza,John Malone,skipped
2001-03-04,Bernie Kunza,John Malone,skipped
2001-03-04,Bernie Kunza,John Malone,skipped
2001-03-04,Bernie Kunza,John Malone,skipped
2001-03-05,Bernie Kunza,John Malone,skipped
2001-03-05,Bernie Kunza,John Malone,skipped
2001-03-05,Bernie Kunza,John Malone,skipped
2001-03-05,Bernie Kunza,John Malone,skipped
2001-03-05,Bernie Kunza,John Malone,skipped
2001-03-05,Bernie Kunza,John Malone,skipped
2001-03-06,Bernie Kunza,John Malone,skipped
2001-03-06,Bernie Kunza,John Malone,skipped
2001-03-06,Bernie Kunza,John Malone,skipped
2001-03-06,Bernie Kunza,John Malone,skipped
2001-03-06,Bernie Kunza,John Malone,skipped
2001-01-03,Bernie Kunza,writein,skipped
2001-01-09,Bernie Kunza,writein,writein
2001-01-05,Bernie Kunza,writein,writein
2001-03-04,Bernie Kunza,writein,John Malone
2001-03-06,Bernie Kunza,Liz Wielinski,writein
2001-01-01,Bernie Kunza,Liz Wielinski,John Malone
2001-01-01,Bernie Kunza,Liz Wielinski,John Malone
2001-01-01,Bernie Kunza,Liz Wielinski,John Malone
2001-01-02,Bernie Kunza,Liz Wielinski,John Malone
2001-01-02,Bernie Kunza,Liz Wielinski,John Malone
2001-01-02,Bernie Kunza,Liz Wielinski,John Malone
2001-01-02,Bernie Kunza,Liz Wielinski,John Malone
2001-01-02,Bernie Kunza,Liz Wielinski,John Malone
2001-01-02,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-03,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-04,Bernie Kunza,Liz Wielinski,John Malone
2001-01-05,Bernie Kunza,Liz Wielinski,John Malone
2001-01-05,Bernie Kunza,Liz Wielinski,John Malone
2001-01-05,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-06,Bernie Kunza,Liz Wielinski,John Malone
2001-01-07,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-08,Bernie Kunza,Liz Wielinski,John Malone
2001-01-09,Bernie Kunza,Liz Wielinski,John Malone
