,0,1,2
1,Write-In cells: 526,,
2,Overvote cells: 96,,
3,Nancy J. Martinez: 0,,
4,Selvena N. Brooks-Powers: 1,,
5,Nicole S. Lee: 2,,
6907,1,,
6909,1,,
6911,1,0.0,
6913,0,2.0,1.0
6917,1,0.0,2.0
6919,1,,
6921,0,2.0,1.0
6923,1,,
6925,1,,
6927,1,,
6929,0,,
6931,1,,
6933,1,,
6935,1,0.0,2.0
6937,1,2.0,0.0
6939,1,,
6941,1,0.0,2.0
6943,2,0.0,1.0
6945,1,0.0,2.0
6947,1,,
6949,2,1.0,0.0
6951,2,1.0,0.0
6953,1,,
6955,1,,
6957,1,2.0,0.0
6959,2,0.0,1.0
6961,1,,
6963,2,0.0,1.0
6965,1,,
6967,0,,
6971,1,,
6973,1,,
6977,1,0.0,2.0
6979,0,1.0,2.0
6981,1,0.0,2.0
6983,2,0.0,1.0
6985,1,,
6987,1,0.0,2.0
6989,1,2.0,0.0
6991,2,0.0,1.0
6993,1,2.0,0.0
6997,2,0.0,1.0
6999,1,,
7001,1,0.0,2.0
7003,1,2.0,0.0
7005,1,2.0,0.0
7007,0,,
7009,1,,
7013,0,2.0,1.0
7015,1,2.0,0.0
7017,0,2.0,1.0
7019,1,0.0,2.0
7021,1,,
7025,0,2.0,1.0
7027,1,0.0,2.0
7029,2,,
7031,1,2.0,0.0
7035,1,,
7037,0,1.0,2.0
7039,0,1.0,2.0
7041,1,0.0,2.0
7043,1,0.0,2.0
7045,1,,
7047,1,,
7049,1,2.0,0.0
7051,1,,
7053,1,2.0,0.0
7055,2,,
7057,2,0.0,1.0
7059,1,,
7061,0,,
7063,0,2.0,1.0
7065,1,,
7067,1,0.0,2.0
7069,1,2.0,
8385,1,2.0,0.0
8387,1,,
8389,1,2.0,0.0
8391,1,0.0,2.0
8393,0,,
8395,0,2.0,1.0
8397,1,,
8399,1,0.0,
8401,1,0.0,2.0
8403,1,,
8405,1,,
8407,1,,
8409,2,0.0,1.0
8411,1,2.0,0.0
8413,1,0.0,
8415,1,2.0,0.0
8417,1,0.0,2.0
8874,0,1.0,2.0
8875,1,0.0,2.0
8876,1,2.0,0.0
8877,1,0.0,2.0
8878,1,0.0,2.0
8879,1,2.0,0.0
8880,1,2.0,0.0
8881,1,0.0,2.0
8882,1,0.0,2.0
8883,1,,
8884,1,0.0,2.0
8885,1,0.0,2.0
8886,1,2.0,0.0
8887,1,,
8888,1,2.0,0.0
8889,1,,
8890,1,,
8891,1,0.0,2.0
8892,0,1.0,2.0
8893,1,,
8894,2,0.0,1.0
8907,1,2.0,0.0
8918,1,,
8919,0,2.0,1.0
8920,1,2.0,0.0
8921,1,2.0,0.0
14971,0,,
14974,0,,
14976,0,2.0,
14978,1,,
14980,1,2.0,0.0
14982,0,1.0,2.0
14984,1,,
14986,1,,
14989,1,0.0,2.0
14991,0,2.0,1.0
14993,2,1.0,
14995,1,,
14997,1,2.0,0.0
14999,1,0.0,
15001,1,2.0,0.0
