,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Write-In cells: 137,,,,,,,,,,,,,,
2,Overvote cells: 256,,,,,,,,,,,,,,
3,Steven B. Raga: 0,,,,,,,,,,,,,,
4,Ebony R. Young: 1,,,,,,,,,,,,,,
5,Julie Won: 2,,,,,,,,,,,,,,
6,Denise M. Keehan-Smith: 3,,,,,,,,,,,,,,
7,Badrun Khan: 4,,,,,,,,,,,,,,
8,Glennis E. Gomez: 5,,,,,,,,,,,,,,
9,Brent O'Leary: 6,,,,,,,,,,,,,,
10,Emily E. Sharpe: 7,,,,,,,,,,,,,,
11,Julia L. Forman: 8,,,,,,,,,,,,,,
12,Amit S. Bagga: 9,,,,,,,,,,,,,,
13,Sultan Al Maruf: 10,,,,,,,,,,,,,,
14,Hailie Kim: 11,,,,,,,,,,,,,,
15,Jesse Laymon: 12,,,,,,,,,,,,,,
16,Jonathan Bailey: 13,,,,,,,,,,,,,,
17,Lorenzo Brea: 14,,,,,,,,,,,,,,
157721,2,6.0,10.0,8.0,7.0,,,,,,,,,,
157723,2,,,,,,,,,,,,,,
157725,8,,,,,,,,,,,,,,
157727,0,,,,,,,,,,,,,,
157728,5,,,,,,,,,,,,,,
157729,5,9.0,11.0,2.0,7.0,,,,,,,,,,
157730,2,6.0,1.0,,,,,,,,,,,,
157731,8,6.0,9.0,13.0,2.0,,,,,,,,,,
157732,6,,,,,,,,,,,,,,
157733,2,11.0,13.0,,,,,,,,,,,,
157734,7,8.0,1.0,3.0,14.0,,,,,,,,,,
157735,4,10.0,9.0,5.0,13.0,,,,,,,,,,
157737,9,11.0,6.0,13.0,4.0,,,,,,,,,,
157738,6,,,,,,,,,,,,,,
157739,2,9.0,8.0,6.0,3.0,,,,,,,,,,
157740,6,11.0,,,,,,,,,,,,,
157741,0,6.0,5.0,8.0,1.0,,,,,,,,,,
157742,13,,,,,,,,,,,,,,
157744,5,2.0,0.0,8.0,1.0,,,,,,,,,,
157745,2,9.0,,,,,,,,,,,,,
157746,4,10.0,0.0,3.0,6.0,,,,,,,,,,
157747,11,7.0,1.0,12.0,8.0,,,,,,,,,,
157749,6,13.0,2.0,7.0,3.0,,,,,,,,,,
157750,6,3.0,,,,,,,,,,,,,
157751,9,12.0,8.0,11.0,10.0,,,,,,,,,,
157752,8,11.0,14.0,,,,,,,,,,,,
157753,9,6.0,11.0,,,,,,,,,,,,
157754,2,11.0,3.0,8.0,,,,,,,,,,,
157755,1,2.0,11.0,7.0,8.0,,,,,,,,,,
157756,5,14.0,12.0,11.0,13.0,,,,,,,,,,
157757,2,,,,,,,,,,,,,,
157758,11,2.0,7.0,13.0,,,,,,,,,,,
157759,9,6.0,2.0,13.0,1.0,,,,,,,,,,
157760,11,4.0,2.0,9.0,10.0,,,,,,,,,,
157761,11,2.0,6.0,1.0,14.0,,,,,,,,,,
157762,0,,,,,,,,,,,,,,
157763,1,,,,,,,,,,,,,,
157764,9,6.0,2.0,12.0,13.0,,,,,,,,,,
158372,2,7.0,8.0,6.0,0.0,,,,,,,,,,
158373,8,3.0,2.0,5.0,13.0,,,,,,,,,,
158374,3,,,,,,,,,,,,,,
158375,9,2.0,13.0,11.0,12.0,,,,,,,,,,
158377,9,13.0,,,,,,,,,,,,,
158379,2,,,,,,,,,,,,,,
158382,2,8.0,12.0,1.0,7.0,,,,,,,,,,
158383,9,11.0,6.0,,,,,,,,,,,,
158384,9,,,,,,,,,,,,,,
158385,9,6.0,2.0,,,,,,,,,,,,
158386,2,11.0,1.0,,,,,,,,,,,,
158387,8,9.0,13.0,,,,,,,,,,,,
158389,8,12.0,4.0,,,,,,,,,,,,
158390,4,10.0,,,,,,,,,,,,,
158392,8,11.0,4.0,2.0,9.0,,,,,,,,,,
158393,6,5.0,13.0,8.0,14.0,,,,,,,,,,
158394,9,4.0,2.0,,,,,,,,,,,,
158395,2,11.0,1.0,4.0,9.0,,,,,,,,,,
158396,8,3.0,5.0,7.0,1.0,,,,,,,,,,
158397,2,6.0,9.0,8.0,12.0,,,,,,,,,,
158398,11,2.0,1.0,,,,,,,,,,,,
158399,8,12.0,7.0,14.0,5.0,,,,,,,,,,
158400,2,11.0,6.0,,,,,,,,,,,,
158401,7,9.0,2.0,11.0,6.0,,,,,,,,,,
158402,7,9.0,,,,,,,,,,,,,
158403,6,,,,,,,,,,,,,,
158404,5,14.0,12.0,8.0,13.0,,,,,,,,,,
158406,5,,,,,,,,,,,,,,
158407,3,,,,,,,,,,,,,,
158408,0,2.0,11.0,6.0,10.0,,,,,,,,,,
158409,9,,,,,,,,,,,,,,
158411,0,,,,,,,,,,,,,,
158412,1,,,,,,,,,,,,,,
158413,2,13.0,11.0,1.0,,,,,,,,,,,
158414,2,1.0,4.0,11.0,,,,,,,,,,,
158415,2,13.0,11.0,9.0,0.0,,,,,,,,,,
158416,2,11.0,13.0,8.0,14.0,,,,,,,,,,
158417,0,7.0,12.0,3.0,1.0,,,,,,,,,,
158419,9,2.0,4.0,13.0,1.0,,,,,,,,,,
158420,8,1.0,3.0,14.0,10.0,,,,,,,,,,
158421,6,,,,,,,,,,,,,,
158422,2,9.0,3.0,8.0,7.0,,,,,,,,,,
158423,5,,,,,,,,,,,,,,
158424,9,4.0,,,,,,,,,,,,,
158425,6,0.0,14.0,12.0,8.0,,,,,,,,,,
158426,2,9.0,,,,,,,,,,,,,
158427,14,2.0,9.0,5.0,8.0,,,,,,,,,,
158428,2,6.0,,,,,,,,,,,,,
158429,2,13.0,12.0,11.0,7.0,,,,,,,,,,
158430,11,2.0,8.0,9.0,1.0,,,,,,,,,,
158431,3,,,,,,,,,,,,,,
158432,6,13.0,5.0,1.0,2.0,,,,,,,,,,
158433,6,1.0,8.0,2.0,13.0,,,,,,,,,,
158434,9,2.0,13.0,1.0,11.0,,,,,,,,,,
158435,11,2.0,13.0,12.0,,,,,,,,,,,
158436,10,4.0,3.0,,,,,,,,,,,,
158437,12,8.0,11.0,3.0,14.0,,,,,,,,,,
158439,2,11.0,9.0,,,,,,,,,,,,
158440,3,7.0,9.0,,,,,,,,,,,,
158441,2,9.0,11.0,8.0,12.0,,,,,,,,,,
158442,6,2.0,12.0,11.0,8.0,,,,,,,,,,
158443,8,9.0,13.0,0.0,2.0,,,,,,,,,,
158444,10,13.0,5.0,4.0,7.0,,,,,,,,,,
158447,9,,,,,,,,,,,,,,
158448,10,13.0,2.0,4.0,12.0,,,,,,,,,,
158449,9,6.0,7.0,8.0,13.0,,,,,,,,,,
158450,2,8.0,11.0,7.0,9.0,,,,,,,,,,
158451,9,2.0,,,,,,,,,,,,,
158452,9,2.0,1.0,,,,,,,,,,,,
158453,6,,,,,,,,,,,,,,
158454,6,12.0,8.0,7.0,0.0,,,,,,,,,,
158455,2,,,,,,,,,,,,,,
158456,8,14.0,3.0,7.0,1.0,,,,,,,,,,
158457,1,2.0,10.0,12.0,8.0,,,,,,,,,,
158458,2,,,,,,,,,,,,,,
158459,5,3.0,13.0,1.0,9.0,,,,,,,,,,
158460,0,5.0,14.0,2.0,3.0,,,,,,,,,,
158461,5,13.0,14.0,8.0,1.0,,,,,,,,,,
158462,2,,,,,,,,,,,,,,
158463,11,3.0,2.0,8.0,12.0,,,,,,,,,,
158464,9,0.0,2.0,11.0,,,,,,,,,,,
158465,11,2.0,1.0,5.0,7.0,,,,,,,,,,
158466,6,,,,,,,,,,,,,,
158467,6,,,,,,,,,,,,,,
158468,3,6.0,,,,,,,,,,,,,
158469,5,14.0,7.0,12.0,8.0,,,,,,,,,,
158470,9,,,,,,,,,,,,,,
158471,2,11.0,12.0,13.0,,,,,,,,,,,
158472,1,2.0,,,,,,,,,,,,,
158474,9,4.0,1.0,2.0,10.0,,,,,,,,,,
158475,13,11.0,2.0,0.0,9.0,,,,,,,,,,
158476,11,3.0,6.0,,,,,,,,,,,,
158477,11,8.0,1.0,9.0,3.0,,,,,,,,,,
158478,2,11.0,1.0,4.0,7.0,,,,,,,,,,
158480,0,,,,,,,,,,,,,,
158482,2,5.0,10.0,14.0,8.0,,,,,,,,,,
158483,4,10.0,2.0,11.0,1.0,,,,,,,,,,
158484,11,9.0,4.0,3.0,,,,,,,,,,,
158485,2,11.0,,,,,,,,,,,,,
158486,6,9.0,8.0,,,,,,,,,,,,
158487,11,0.0,2.0,3.0,8.0,,,,,,,,,,
158488,1,2.0,4.0,6.0,9.0,,,,,,,,,,
158489,7,9.0,4.0,0.0,,,,,,,,,,,
158490,14,,,,,,,,,,,,,,
158491,4,10.0,9.0,0.0,3.0,,,,,,,,,,
158492,9,13.0,2.0,6.0,,,,,,,,,,,
158497,1,,,,,,,,,,,,,,
158499,10,1.0,5.0,2.0,,,,,,,,,,,
158500,6,,,,,,,,,,,,,,
158502,6,8.0,9.0,0.0,,,,,,,,,,,
158503,2,9.0,11.0,,,,,,,,,,,,
158504,6,,,,,,,,,,,,,,
158505,2,1.0,6.0,13.0,11.0,,,,,,,,,,
158506,8,,,,,,,,,,,,,,
158507,2,0.0,13.0,,,,,,,,,,,,
158508,11,9.0,8.0,2.0,12.0,,,,,,,,,,
158509,2,11.0,1.0,4.0,6.0,,,,,,,,,,
158512,4,,,,,,,,,,,,,,
158513,11,2.0,9.0,1.0,8.0,,,,,,,,,,
158514,2,6.0,13.0,7.0,11.0,,,,,,,,,,
158515,9,,,,,,,,,,,,,,
158516,6,,,,,,,,,,,,,,
158517,9,2.0,12.0,13.0,,,,,,,,,,,
158519,10,4.0,9.0,2.0,,,,,,,,,,,
158521,13,2.0,6.0,9.0,,,,,,,,,,,
158522,9,,,,,,,,,,,,,,
158523,2,11.0,1.0,6.0,4.0,,,,,,,,,,
158524,9,12.0,,,,,,,,,,,,,
158525,1,2.0,6.0,11.0,,,,,,,,,,,
158526,10,4.0,,,,,,,,,,,,,
158527,6,13.0,12.0,8.0,5.0,,,,,,,,,,
158528,9,11.0,2.0,,,,,,,,,,,,
158529,8,,,,,,,,,,,,,,
158530,9,12.0,3.0,,,,,,,,,,,,
158531,2,,,,,,,,,,,,,,
158533,2,8.0,11.0,0.0,13.0,,,,,,,,,,
158534,3,14.0,5.0,0.0,8.0,,,,,,,,,,
158535,1,10.0,,,,,,,,,,,,,
158536,2,,,,,,,,,,,,,,
158537,11,4.0,2.0,9.0,10.0,,,,,,,,,,
158538,13,6.0,,,,,,,,,,,,,
158539,13,8.0,12.0,6.0,11.0,,,,,,,,,,
158540,6,,,,,,,,,,,,,,
158541,13,2.0,1.0,9.0,,,,,,,,,,,
158542,8,7.0,3.0,0.0,2.0,,,,,,,,,,
158543,2,6.0,8.0,7.0,3.0,,,,,,,,,,
158546,4,10.0,,,,,,,,,,,,,
158547,5,8.0,1.0,11.0,6.0,,,,,,,,,,
158548,13,12.0,7.0,,,,,,,,,,,,
158549,2,,,,,,,,,,,,,,
158550,3,,,,,,,,,,,,,,
158551,7,9.0,13.0,,,,,,,,,,,,
158552,11,5.0,6.0,,,,,,,,,,,,
158553,13,12.0,11.0,7.0,6.0,,,,,,,,,,
158556,6,13.0,12.0,,,,,,,,,,,,
158558,9,,,,,,,,,,,,,,
158560,1,7.0,4.0,9.0,10.0,,,,,,,,,,
158562,5,,,,,,,,,,,,,,
158564,12,9.0,2.0,8.0,6.0,,,,,,,,,,
158565,11,2.0,,,,,,,,,,,,,
158566,8,6.0,9.0,13.0,,,,,,,,,,,
158567,2,11.0,4.0,1.0,,,,,,,,,,,
158568,1,,,,,,,,,,,,,,
158569,2,,,,,,,,,,,,,,
158570,6,8.0,9.0,,,,,,,,,,,,
158571,8,7.0,3.0,14.0,5.0,,,,,,,,,,
158572,9,0.0,13.0,2.0,11.0,,,,,,,,,,
158573,11,2.0,7.0,8.0,1.0,,,,,,,,,,
158574,13,9.0,2.0,10.0,,,,,,,,,,,
158575,4,2.0,0.0,9.0,3.0,,,,,,,,,,
158576,13,9.0,5.0,12.0,2.0,,,,,,,,,,
158577,2,9.0,11.0,1.0,5.0,,,,,,,,,,
158578,9,2.0,8.0,12.0,11.0,,,,,,,,,,
158580,0,,,,,,,,,,,,,,
158581,2,11.0,1.0,4.0,5.0,,,,,,,,,,
158582,9,2.0,12.0,8.0,13.0,,,,,,,,,,
158583,2,,,,,,,,,,,,,,
158584,5,,,,,,,,,,,,,,
158585,0,,,,,,,,,,,,,,
158586,6,9.0,10.0,5.0,8.0,,,,,,,,,,
158587,1,9.0,2.0,6.0,11.0,,,,,,,,,,
158588,6,2.0,9.0,13.0,5.0,,,,,,,,,,
158590,2,11.0,,,,,,,,,,,,,
158591,2,9.0,11.0,10.0,,,,,,,,,,,
158592,3,,,,,,,,,,,,,,
158593,4,3.0,2.0,14.0,5.0,,,,,,,,,,
158594,2,8.0,4.0,5.0,11.0,,,,,,,,,,
158595,13,7.0,14.0,0.0,10.0,,,,,,,,,,
158596,2,9.0,11.0,0.0,13.0,,,,,,,,,,
158598,11,9.0,10.0,4.0,8.0,,,,,,,,,,
158600,3,2.0,11.0,8.0,7.0,,,,,,,,,,
158601,9,0.0,1.0,11.0,5.0,,,,,,,,,,
158602,3,6.0,11.0,2.0,7.0,,,,,,,,,,
158603,2,13.0,12.0,8.0,11.0,,,,,,,,,,
158604,9,11.0,,,,,,,,,,,,,
158605,3,,,,,,,,,,,,,,
158607,4,2.0,,,,,,,,,,,,,
158608,8,,,,,,,,,,,,,,
158609,4,2.0,9.0,10.0,1.0,,,,,,,,,,
158611,13,12.0,2.0,11.0,6.0,,,,,,,,,,
158612,5,8.0,,,,,,,,,,,,,
158613,0,11.0,2.0,6.0,8.0,,,,,,,,,,
158614,8,5.0,12.0,7.0,,,,,,,,,,,
158615,2,1.0,11.0,12.0,14.0,,,,,,,,,,
158616,13,1.0,9.0,2.0,,,,,,,,,,,
158618,9,,,,,,,,,,,,,,
158619,2,,,,,,,,,,,,,,
158621,9,2.0,0.0,6.0,14.0,,,,,,,,,,
158622,8,6.0,7.0,1.0,9.0,,,,,,,,,,
158627,6,,,,,,,,,,,,,,
158630,1,5.0,2.0,8.0,11.0,,,,,,,,,,
158631,5,,,,,,,,,,,,,,
158632,13,2.0,1.0,9.0,,,,,,,,,,,
159374,2,8.0,11.0,1.0,12.0,,,,,,,,,,
159375,6,2.0,,,,,,,,,,,,,
159376,1,,,,,,,,,,,,,,
159377,1,,,,,,,,,,,,,,
159378,6,,,,,,,,,,,,,,
159379,4,1.0,3.0,,,,,,,,,,,,
159381,1,8.0,11.0,9.0,,,,,,,,,,,
159382,11,12.0,6.0,13.0,8.0,,,,,,,,,,
159383,13,9.0,5.0,1.0,8.0,,,,,,,,,,
159384,7,,,,,,,,,,,,,,
159385,3,,,,,,,,,,,,,,
159387,5,2.0,14.0,,,,,,,,,,,,
159389,14,,,,,,,,,,,,,,
159390,4,,,,,,,,,,,,,,
159391,9,,,,,,,,,,,,,,
159392,11,,,,,,,,,,,,,,
159393,2,0.0,8.0,1.0,7.0,,,,,,,,,,
159394,1,8.0,3.0,10.0,14.0,,,,,,,,,,
159395,3,7.0,8.0,14.0,13.0,,,,,,,,,,
159396,8,4.0,5.0,6.0,9.0,,,,,,,,,,
159397,5,0.0,2.0,,,,,,,,,,,,
159398,6,5.0,14.0,4.0,9.0,,,,,,,,,,
159399,10,,,,,,,,,,,,,,
159400,12,4.0,6.0,3.0,8.0,,,,,,,,,,
159401,7,1.0,12.0,8.0,4.0,,,,,,,,,,
159402,5,8.0,14.0,0.0,3.0,,,,,,,,,,
159403,1,,,,,,,,,,,,,,
159404,1,3.0,,,,,,,,,,,,,
159405,1,,,,,,,,,,,,,,
159406,9,7.0,10.0,,,,,,,,,,,,
159407,14,,,,,,,,,,,,,,
159408,13,,,,,,,,,,,,,,
159409,5,,,,,,,,,,,,,,
159410,11,2.0,1.0,14.0,9.0,,,,,,,,,,
159411,7,12.0,11.0,1.0,2.0,,,,,,,,,,
159412,0,2.0,3.0,14.0,13.0,,,,,,,,,,
159413,3,8.0,12.0,6.0,0.0,,,,,,,,,,
159414,14,,,,,,,,,,,,,,
159415,1,5.0,,,,,,,,,,,,,
159416,7,,,,,,,,,,,,,,
159417,4,0.0,1.0,5.0,13.0,,,,,,,,,,
159418,6,2.0,14.0,,,,,,,,,,,,
159419,1,,,,,,,,,,,,,,
159420,8,7.0,14.0,11.0,,,,,,,,,,,
159421,3,14.0,9.0,1.0,,,,,,,,,,,
159422,9,12.0,1.0,2.0,13.0,,,,,,,,,,
159423,2,5.0,1.0,,,,,,,,,,,,
159424,9,,,,,,,,,,,,,,
159425,5,,,,,,,,,,,,,,
159426,6,0.0,14.0,5.0,1.0,,,,,,,,,,
159427,6,5.0,,,,,,,,,,,,,
159428,14,,,,,,,,,,,,,,
159429,1,,,,,,,,,,,,,,
159431,10,9.0,6.0,5.0,4.0,,,,,,,,,,
159432,9,13.0,12.0,0.0,4.0,,,,,,,,,,
159433,6,5.0,1.0,8.0,12.0,,,,,,,,,,
159434,6,1.0,13.0,0.0,2.0,,,,,,,,,,
159435,14,,,,,,,,,,,,,,
159436,14,8.0,10.0,,,,,,,,,,,,
159437,6,13.0,1.0,14.0,5.0,,,,,,,,,,
159438,6,1.0,,,,,,,,,,,,,
159439,5,14.0,8.0,11.0,3.0,,,,,,,,,,
159440,1,3.0,14.0,9.0,0.0,,,,,,,,,,
159442,5,7.0,13.0,,,,,,,,,,,,
159443,1,14.0,11.0,,,,,,,,,,,,
159444,1,,,,,,,,,,,,,,
159445,9,,,,,,,,,,,,,,
159446,14,6.0,1.0,13.0,9.0,,,,,,,,,,
159447,2,11.0,6.0,8.0,4.0,,,,,,,,,,
159448,5,12.0,,,,,,,,,,,,,
159450,9,11.0,3.0,4.0,1.0,,,,,,,,,,
159452,1,9.0,,,,,,,,,,,,,
159453,5,1.0,12.0,,,,,,,,,,,,
159454,0,13.0,9.0,5.0,14.0,,,,,,,,,,
159456,11,2.0,1.0,14.0,9.0,,,,,,,,,,
159457,9,6.0,13.0,,,,,,,,,,,,
159458,5,3.0,6.0,2.0,9.0,,,,,,,,,,
159459,1,,,,,,,,,,,,,,
159460,12,7.0,3.0,5.0,13.0,,,,,,,,,,
159461,13,3.0,8.0,1.0,5.0,,,,,,,,,,
159463,5,,,,,,,,,,,,,,
159464,4,,,,,,,,,,,,,,
159465,14,,,,,,,,,,,,,,
159466,1,7.0,8.0,5.0,13.0,,,,,,,,,,
159467,5,14.0,12.0,3.0,,,,,,,,,,,
159469,6,13.0,7.0,1.0,5.0,,,,,,,,,,
159470,0,11.0,2.0,5.0,6.0,,,,,,,,,,
159471,14,,,,,,,,,,,,,,
159472,2,9.0,12.0,8.0,7.0,,,,,,,,,,
159473,14,1.0,,,,,,,,,,,,,
159475,5,,,,,,,,,,,,,,
159476,1,,,,,,,,,,,,,,
159477,14,1.0,,,,,,,,,,,,,
159478,2,14.0,5.0,8.0,,,,,,,,,,,
159479,14,,,,,,,,,,,,,,
159480,11,,,,,,,,,,,,,,
159482,5,10.0,2.0,11.0,8.0,,,,,,,,,,
159484,1,,,,,,,,,,,,,,
159485,9,7.0,10.0,,,,,,,,,,,,
159486,14,11.0,7.0,3.0,13.0,,,,,,,,,,
159487,9,10.0,4.0,0.0,12.0,,,,,,,,,,
159488,13,14.0,1.0,,,,,,,,,,,,
159489,0,2.0,,,,,,,,,,,,,
159491,6,,,,,,,,,,,,,,
159492,13,1.0,,,,,,,,,,,,,
159493,6,12.0,2.0,0.0,7.0,,,,,,,,,,
159494,6,,,,,,,,,,,,,,
159496,6,1.0,2.0,14.0,,,,,,,,,,,
159497,11,2.0,9.0,,,,,,,,,,,,
159498,5,14.0,2.0,3.0,9.0,,,,,,,,,,
159499,6,0.0,4.0,1.0,13.0,,,,,,,,,,
159500,1,,,,,,,,,,,,,,
159501,9,,,,,,,,,,,,,,
159502,5,14.0,11.0,3.0,7.0,,,,,,,,,,
159505,5,1.0,8.0,3.0,13.0,,,,,,,,,,
159506,14,,,,,,,,,,,,,,
159507,5,,,,,,,,,,,,,,
159508,9,6.0,14.0,1.0,0.0,,,,,,,,,,
159509,13,1.0,,,,,,,,,,,,,
159511,1,2.0,12.0,8.0,10.0,,,,,,,,,,
159512,14,8.0,5.0,,,,,,,,,,,,
159513,14,,,,,,,,,,,,,,
159514,4,9.0,10.0,1.0,3.0,,,,,,,,,,
159515,8,14.0,5.0,9.0,0.0,,,,,,,,,,
159516,14,6.0,3.0,12.0,2.0,,,,,,,,,,
159517,12,1.0,3.0,2.0,9.0,,,,,,,,,,
159520,1,,,,,,,,,,,,,,
159522,0,,,,,,,,,,,,,,
159523,4,10.0,,,,,,,,,,,,,
159524,9,1.0,3.0,,,,,,,,,,,,
159525,6,5.0,9.0,3.0,,,,,,,,,,,
159526,14,,,,,,,,,,,,,,
159527,0,5.0,7.0,10.0,6.0,,,,,,,,,,
159529,5,,,,,,,,,,,,,,
159530,1,,,,,,,,,,,,,,
159531,0,6.0,12.0,10.0,9.0,,,,,,,,,,
159532,14,1.0,,,,,,,,,,,,,
159533,9,0.0,8.0,2.0,6.0,,,,,,,,,,
159534,3,,,,,,,,,,,,,,
159535,14,1.0,9.0,3.0,12.0,,,,,,,,,,
159536,1,7.0,4.0,2.0,14.0,,,,,,,,,,
159537,14,,,,,,,,,,,,,,
159539,13,,,,,,,,,,,,,,
159540,1,,,,,,,,,,,,,,
159542,1,5.0,,,,,,,,,,,,,
160428,14,8.0,3.0,7.0,9.0,,,,,,,,,,
160429,1,,,,,,,,,,,,,,
160430,13,10.0,6.0,7.0,8.0,,,,,,,,,,
160432,1,,,,,,,,,,,,,,
160433,9,12.0,7.0,3.0,,,,,,,,,,,
160435,1,7.0,6.0,13.0,,,,,,,,,,,
160436,0,6.0,12.0,10.0,9.0,,,,,,,,,,
160438,14,9.0,8.0,,,,,,,,,,,,
160439,8,12.0,14.0,5.0,0.0,,,,,,,,,,
160440,6,1.0,14.0,,,,,,,,,,,,
160441,14,,,,,,,,,,,,,,
160442,3,,,,,,,,,,,,,,
160443,10,2.0,8.0,0.0,7.0,,,,,,,,,,
160444,9,13.0,12.0,0.0,1.0,,,,,,,,,,
160445,3,,,,,,,,,,,,,,
160446,14,,,,,,,,,,,,,,
160447,8,14.0,6.0,9.0,10.0,,,,,,,,,,
160448,6,9.0,1.0,,,,,,,,,,,,
160449,5,,,,,,,,,,,,,,
160450,1,,,,,,,,,,,,,,
160451,5,1.0,,,,,,,,,,,,,
160452,8,,,,,,,,,,,,,,
160453,13,,,,,,,,,,,,,,
160456,9,2.0,14.0,1.0,8.0,,,,,,,,,,
160457,8,12.0,2.0,1.0,4.0,,,,,,,,,,
160458,7,8.0,4.0,14.0,9.0,,,,,,,,,,
160460,6,12.0,1.0,7.0,3.0,,,,,,,,,,
160461,8,6.0,7.0,4.0,14.0,,,,,,,,,,
160463,2,5.0,3.0,14.0,0.0,,,,,,,,,,
160464,8,5.0,0.0,2.0,,,,,,,,,,,
160465,5,6.0,,,,,,,,,,,,,
160466,1,13.0,2.0,5.0,14.0,,,,,,,,,,
160467,5,9.0,,,,,,,,,,,,,
160468,5,2.0,1.0,8.0,,,,,,,,,,,
160469,9,1.0,0.0,5.0,3.0,,,,,,,,,,
160470,9,1.0,8.0,2.0,13.0,,,,,,,,,,
160471,14,8.0,13.0,,,,,,,,,,,,
160472,1,11.0,4.0,2.0,5.0,,,,,,,,,,
160473,8,2.0,1.0,14.0,13.0,,,,,,,,,,
160474,14,1.0,,,,,,,,,,,,,
160475,9,1.0,5.0,12.0,8.0,,,,,,,,,,
160476,6,9.0,13.0,0.0,10.0,,,,,,,,,,
160477,14,,,,,,,,,,,,,,
160478,14,9.0,0.0,1.0,13.0,,,,,,,,,,
160479,1,8.0,7.0,11.0,2.0,,,,,,,,,,
160480,5,1.0,14.0,,,,,,,,,,,,
160481,13,,,,,,,,,,,,,,
160482,14,13.0,1.0,8.0,,,,,,,,,,,
160483,13,6.0,,,,,,,,,,,,,
160485,6,1.0,,,,,,,,,,,,,
160486,1,3.0,8.0,,,,,,,,,,,,
160487,2,7.0,1.0,,,,,,,,,,,,
160488,5,14.0,1.0,8.0,2.0,,,,,,,,,,
160489,8,12.0,1.0,7.0,11.0,,,,,,,,,,
160490,8,,,,,,,,,,,,,,
160491,1,8.0,14.0,2.0,6.0,,,,,,,,,,
160492,14,0.0,3.0,1.0,9.0,,,,,,,,,,
160493,5,14.0,9.0,0.0,4.0,,,,,,,,,,
160494,1,2.0,6.0,9.0,8.0,,,,,,,,,,
160495,1,,,,,,,,,,,,,,
160496,6,3.0,14.0,1.0,,,,,,,,,,,
160498,13,,,,,,,,,,,,,,
160499,2,11.0,5.0,0.0,1.0,,,,,,,,,,
160500,2,6.0,0.0,,,,,,,,,,,,
160501,14,9.0,3.0,1.0,0.0,,,,,,,,,,
160502,3,,,,,,,,,,,,,,
160503,1,14.0,11.0,,,,,,,,,,,,
160504,6,,,,,,,,,,,,,,
160505,14,6.0,1.0,13.0,9.0,,,,,,,,,,
160506,3,,,,,,,,,,,,,,
160507,13,11.0,1.0,,,,,,,,,,,,
160508,5,3.0,14.0,8.0,7.0,,,,,,,,,,
160509,1,7.0,2.0,6.0,8.0,,,,,,,,,,
160510,5,3.0,7.0,8.0,9.0,,,,,,,,,,
160511,1,13.0,6.0,,,,,,,,,,,,
160512,1,10.0,,,,,,,,,,,,,
160515,3,13.0,,,,,,,,,,,,,
160516,9,,,,,,,,,,,,,,
160517,1,6.0,3.0,8.0,2.0,,,,,,,,,,
160519,1,14.0,9.0,2.0,13.0,,,,,,,,,,
160520,9,13.0,0.0,,,,,,,,,,,,
160521,2,14.0,5.0,13.0,8.0,,,,,,,,,,
160522,8,,,,,,,,,,,,,,
160523,1,5.0,13.0,14.0,3.0,,,,,,,,,,
160524,6,,,,,,,,,,,,,,
160526,4,3.0,10.0,,,,,,,,,,,,
160527,1,,,,,,,,,,,,,,
160528,8,1.0,7.0,,,,,,,,,,,,
160529,6,,,,,,,,,,,,,,
160530,1,14.0,5.0,,,,,,,,,,,,
160531,4,1.0,8.0,11.0,10.0,,,,,,,,,,
160532,1,8.0,,,,,,,,,,,,,
160533,9,,,,,,,,,,,,,,
160535,6,1.0,,,,,,,,,,,,,
160536,2,8.0,5.0,14.0,1.0,,,,,,,,,,
160538,14,5.0,0.0,1.0,4.0,,,,,,,,,,
160539,3,9.0,13.0,7.0,,,,,,,,,,,
160541,5,12.0,8.0,7.0,0.0,,,,,,,,,,
160543,1,,,,,,,,,,,,,,
160544,1,,,,,,,,,,,,,,
160545,12,8.0,11.0,7.0,,,,,,,,,,,
160546,13,14.0,8.0,6.0,7.0,,,,,,,,,,
160547,1,9.0,14.0,0.0,10.0,,,,,,,,,,
160548,6,9.0,14.0,13.0,5.0,,,,,,,,,,
160549,1,6.0,7.0,0.0,5.0,,,,,,,,,,
160550,1,,,,,,,,,,,,,,
160551,9,,,,,,,,,,,,,,
160552,5,13.0,10.0,6.0,12.0,,,,,,,,,,
160555,13,5.0,,,,,,,,,,,,,
160556,14,,,,,,,,,,,,,,
160557,13,8.0,1.0,3.0,14.0,,,,,,,,,,
160558,14,5.0,2.0,8.0,1.0,,,,,,,,,,
160559,8,14.0,5.0,2.0,,,,,,,,,,,
160560,13,1.0,14.0,,,,,,,,,,,,
160562,8,12.0,,,,,,,,,,,,,
160563,1,,,,,,,,,,,,,,
160564,8,12.0,1.0,7.0,4.0,,,,,,,,,,
160565,1,,,,,,,,,,,,,,
160566,9,,,,,,,,,,,,,,
160567,7,8.0,1.0,3.0,,,,,,,,,,,
160568,1,,,,,,,,,,,,,,
160569,10,5.0,4.0,7.0,,,,,,,,,,,
160570,14,5.0,7.0,0.0,12.0,,,,,,,,,,
160571,8,14.0,0.0,1.0,2.0,,,,,,,,,,
160572,1,6.0,13.0,,,,,,,,,,,,
