,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Write-In cells: 137,,,,,,,,,,,,,,
2,Overvote cells: 256,,,,,,,,,,,,,,
3,Steven B. Raga: 0,,,,,,,,,,,,,,
4,Ebony R. Young: 1,,,,,,,,,,,,,,
5,Julie Won: 2,,,,,,,,,,,,,,
6,Denise M. Keehan-Smith: 3,,,,,,,,,,,,,,
7,Badrun Khan: 4,,,,,,,,,,,,,,
8,Glennis E. Gomez: 5,,,,,,,,,,,,,,
9,Brent O'Leary: 6,,,,,,,,,,,,,,
10,Emily E. Sharpe: 7,,,,,,,,,,,,,,
11,Julia L. Forman: 8,,,,,,,,,,,,,,
12,Amit S. Bagga: 9,,,,,,,,,,,,,,
13,Sultan Al Maruf: 10,,,,,,,,,,,,,,
14,Hailie Kim: 11,,,,,,,,,,,,,,
15,Jesse Laymon: 12,,,,,,,,,,,,,,
16,Jonathan Bailey: 13,,,,,,,,,,,,,,
17,Lorenzo Brea: 14,,,,,,,,,,,,,,
11342,4,10.0,,,,,,,,,,,,,
11344,4,10.0,,,,,,,,,,,,,
11345,7,8.0,2.0,11.0,12.0,,,,,,,,,,
11347,9,6.0,4.0,13.0,10.0,,,,,,,,,,
11349,9,12.0,6.0,11.0,2.0,,,,,,,,,,
11351,9,12.0,6.0,11.0,2.0,,,,,,,,,,
11353,1,7.0,11.0,2.0,,,,,,,,,,,
12221,5,3.0,12.0,1.0,,,,,,,,,,,
12222,2,,,,,,,,,,,,,,
12223,2,13.0,9.0,8.0,12.0,,,,,,,,,,
12224,8,3.0,,,,,,,,,,,,,
12225,2,9.0,0.0,8.0,6.0,,,,,,,,,,
12226,11,2.0,4.0,,,,,,,,,,,,
12227,2,5.0,6.0,9.0,0.0,,,,,,,,,,
12228,2,3.0,6.0,12.0,9.0,,,,,,,,,,
12229,2,,,,,,,,,,,,,,
12230,4,1.0,12.0,6.0,,,,,,,,,,,
12231,8,4.0,5.0,11.0,,,,,,,,,,,
12232,5,4.0,0.0,1.0,10.0,,,,,,,,,,
12233,9,2.0,0.0,6.0,5.0,,,,,,,,,,
12234,8,3.0,6.0,9.0,0.0,,,,,,,,,,
12235,6,,,,,,,,,,,,,,
12236,2,8.0,4.0,0.0,1.0,,,,,,,,,,
12237,8,7.0,3.0,2.0,14.0,,,,,,,,,,
12238,9,2.0,11.0,7.0,8.0,,,,,,,,,,
12239,8,1.0,7.0,3.0,6.0,,,,,,,,,,
12240,0,3.0,7.0,8.0,6.0,,,,,,,,,,
12241,11,3.0,9.0,1.0,8.0,,,,,,,,,,
12242,12,13.0,9.0,,,,,,,,,,,,
12243,9,2.0,6.0,,,,,,,,,,,,
12244,3,,,,,,,,,,,,,,
12245,8,12.0,,,,,,,,,,,,,
12247,6,7.0,2.0,11.0,,,,,,,,,,,
15292,5,3.0,,,,,,,,,,,,,
15293,12,8.0,11.0,4.0,6.0,,,,,,,,,,
15294,3,,,,,,,,,,,,,,
15296,12,6.0,11.0,13.0,,,,,,,,,,,
15297,9,12.0,,,,,,,,,,,,,
15298,13,9.0,8.0,2.0,12.0,,,,,,,,,,
15299,3,1.0,2.0,,,,,,,,,,,,
15300,13,2.0,10.0,1.0,4.0,,,,,,,,,,
15301,6,13.0,3.0,,,,,,,,,,,,
15302,9,2.0,0.0,14.0,13.0,,,,,,,,,,
15303,6,7.0,8.0,12.0,13.0,,,,,,,,,,
15304,2,1.0,11.0,8.0,3.0,,,,,,,,,,
16136,2,5.0,12.0,11.0,9.0,,,,,,,,,,
16138,0,2.0,,,,,,,,,,,,,
16142,8,2.0,1.0,11.0,4.0,,,,,,,,,,
16144,9,8.0,12.0,,,,,,,,,,,,
16146,13,9.0,12.0,,,,,,,,,,,,
16148,2,8.0,7.0,9.0,6.0,,,,,,,,,,
16150,8,7.0,3.0,12.0,11.0,,,,,,,,,,
16152,8,,,,,,,,,,,,,,
16154,13,9.0,12.0,,,,,,,,,,,,
16156,2,1.0,13.0,4.0,10.0,,,,,,,,,,
16160,8,1.0,,,,,,,,,,,,,
16162,13,9.0,12.0,,,,,,,,,,,,
16164,9,12.0,2.0,8.0,13.0,,,,,,,,,,
16167,2,8.0,9.0,11.0,12.0,,,,,,,,,,
16168,12,0.0,9.0,2.0,5.0,,,,,,,,,,
16170,9,12.0,4.0,2.0,5.0,,,,,,,,,,
16172,4,12.0,13.0,9.0,6.0,,,,,,,,,,
16174,12,0.0,9.0,2.0,5.0,,,,,,,,,,
16176,12,7.0,2.0,11.0,9.0,,,,,,,,,,
16178,3,8.0,13.0,,,,,,,,,,,,
16181,12,0.0,1.0,8.0,3.0,,,,,,,,,,
18534,1,2.0,6.0,8.0,3.0,,,,,,,,,,
18538,2,11.0,7.0,10.0,6.0,,,,,,,,,,
18539,2,11.0,7.0,10.0,6.0,,,,,,,,,,
21735,12,8.0,11.0,2.0,9.0,,,,,,,,,,
21739,11,2.0,1.0,,,,,,,,,,,,
23746,4,8.0,12.0,13.0,11.0,,,,,,,,,,
23748,11,2.0,,,,,,,,,,,,,
23751,9,12.0,0.0,8.0,13.0,,,,,,,,,,
23753,6,11.0,13.0,9.0,12.0,,,,,,,,,,
24376,13,2.0,11.0,12.0,9.0,,,,,,,,,,
24378,11,1.0,5.0,,,,,,,,,,,,
24380,10,4.0,2.0,1.0,3.0,,,,,,,,,,
24382,4,10.0,8.0,12.0,5.0,,,,,,,,,,
24384,0,10.0,6.0,9.0,3.0,,,,,,,,,,
24386,4,10.0,8.0,12.0,5.0,,,,,,,,,,
24388,11,,,,,,,,,,,,,,
24390,5,,,,,,,,,,,,,,
24393,2,6.0,13.0,,,,,,,,,,,,
24395,8,12.0,1.0,11.0,14.0,,,,,,,,,,
24397,11,2.0,7.0,14.0,,,,,,,,,,,
24400,10,4.0,11.0,2.0,1.0,,,,,,,,,,
24402,4,10.0,8.0,12.0,5.0,,,,,,,,,,
24404,0,10.0,6.0,9.0,3.0,,,,,,,,,,
27321,9,1.0,,,,,,,,,,,,,
27828,9,13.0,12.0,4.0,5.0,,,,,,,,,,
27831,8,,,,,,,,,,,,,,
27832,9,12.0,2.0,8.0,,,,,,,,,,,
27834,9,,,,,,,,,,,,,,
27836,1,,,,,,,,,,,,,,
27839,12,9.0,,,,,,,,,,,,,
27840,9,7.0,3.0,13.0,6.0,,,,,,,,,,
27842,9,2.0,3.0,,,,,,,,,,,,
27844,9,12.0,11.0,2.0,,,,,,,,,,,
27846,13,9.0,5.0,1.0,11.0,,,,,,,,,,
27848,9,11.0,2.0,4.0,1.0,,,,,,,,,,
27850,2,11.0,4.0,,,,,,,,,,,,
27852,9,1.0,2.0,8.0,6.0,,,,,,,,,,
27854,8,7.0,11.0,2.0,4.0,,,,,,,,,,
27856,0,10.0,7.0,3.0,1.0,,,,,,,,,,
27858,5,14.0,1.0,2.0,12.0,,,,,,,,,,
27860,9,,,,,,,,,,,,,,
27862,8,,,,,,,,,,,,,,
27864,9,1.0,3.0,13.0,,,,,,,,,,,
27866,9,13.0,2.0,8.0,,,,,,,,,,,
27868,9,2.0,3.0,,,,,,,,,,,,
27870,2,9.0,8.0,10.0,12.0,,,,,,,,,,
27872,9,13.0,2.0,6.0,8.0,,,,,,,,,,
27874,2,9.0,,,,,,,,,,,,,
27876,8,,,,,,,,,,,,,,
27878,2,6.0,9.0,,,,,,,,,,,,
27880,2,11.0,10.0,0.0,4.0,,,,,,,,,,
27882,9,8.0,0.0,2.0,11.0,,,,,,,,,,
27886,8,,,,,,,,,,,,,,
27888,9,13.0,2.0,11.0,8.0,,,,,,,,,,
27890,11,8.0,1.0,13.0,5.0,,,,,,,,,,
27892,2,11.0,8.0,13.0,9.0,,,,,,,,,,
27894,9,12.0,,,,,,,,,,,,,
27896,2,9.0,4.0,6.0,1.0,,,,,,,,,,
27898,9,,,,,,,,,,,,,,
