,0,1,2,3
1,Write-In cells: 290,,,
2,Overvote cells: 85,,,
3,Alec Brook-Krasny: 0,,,
4,Joseph Packer: 1,,,
5,Ari Kagan: 2,,,
6,Steven D. Patzer: 3,,,
3870,3,,,
3871,3,,,
3872,2,0.0,,
3874,2,1.0,3.0,
4406,2,0.0,3.0,
4407,3,0.0,,
4408,2,0.0,,
4410,0,,,
4411,3,,,
4412,2,0.0,1.0,3.0
4616,1,2.0,0.0,3.0
4617,0,,,
4618,0,,,
4619,2,1.0,0.0,3.0
4620,3,2.0,0.0,1.0
4621,3,1.0,0.0,2.0
4623,1,0.0,3.0,2.0
4624,2,1.0,,
4625,3,,,
4626,2,,,
4627,2,1.0,0.0,3.0
4628,3,1.0,0.0,2.0
4629,3,0.0,,
4630,3,0.0,2.0,
4631,2,0.0,3.0,
4837,0,1.0,2.0,3.0
4838,2,3.0,,
4839,3,,,
4840,2,,,
4841,2,3.0,,
4842,2,,,
4844,2,,,
4845,2,0.0,1.0,3.0
4847,3,1.0,,
4850,2,,,
4851,2,0.0,1.0,3.0
4852,2,3.0,0.0,1.0
4853,2,,,
4856,2,3.0,0.0,1.0
5037,2,3.0,1.0,
5039,2,3.0,0.0,1.0
5041,1,,,
5042,2,3.0,1.0,0.0
5043,2,3.0,0.0,1.0
5044,3,,,
5045,2,,,
5046,2,3.0,1.0,0.0
5624,2,3.0,1.0,
5625,0,2.0,,
5627,0,2.0,,
5628,2,3.0,0.0,1.0
5666,2,0.0,1.0,3.0
5667,1,2.0,0.0,
5669,2,,,
5671,2,0.0,1.0,3.0
5672,2,1.0,3.0,
5673,3,,,
5674,3,1.0,2.0,0.0
5675,2,,,
5676,3,1.0,0.0,2.0
5858,2,,,
5888,3,2.0,,
5889,2,,,
5890,0,3.0,,
5892,3,2.0,1.0,0.0
5893,3,1.0,2.0,0.0
5896,3,1.0,2.0,0.0
5897,2,,,
5899,2,,,
5900,2,,,
5901,3,,,
6020,1,,,
6021,2,3.0,0.0,1.0
6022,3,2.0,0.0,1.0
6023,1,,,
6024,3,2.0,0.0,
6025,2,3.0,1.0,0.0
6026,3,2.0,0.0,1.0
6027,2,3.0,1.0,0.0
6028,3,,,
6029,2,3.0,,
6030,2,3.0,0.0,1.0
6031,2,,,
6123,2,,,
6124,2,,,
6125,2,,,
6574,2,,,
6575,3,2.0,1.0,0.0
6576,2,,,
6577,2,,,
6578,2,,,
6579,3,,,
6582,2,3.0,0.0,1.0
6583,0,,,
6585,1,3.0,,
6587,1,3.0,,
6588,1,3.0,2.0,0.0
6589,3,1.0,2.0,
6591,0,1.0,2.0,3.0
6592,2,,,
6593,2,,,
6594,2,,,
6705,3,,,
6706,2,3.0,0.0,
6707,2,,,
6708,3,0.0,,
6709,3,,,
6711,0,,,
6712,2,,,
6713,2,,,
6714,0,3.0,1.0,2.0
7206,3,0.0,2.0,
7207,2,0.0,,
7208,1,3.0,0.0,2.0
7209,3,1.0,,
7211,2,0.0,,
7212,2,,,
7213,2,,,
7214,3,,,
7215,2,0.0,1.0,3.0
7217,0,,,
7374,3,,,
7614,2,,,
7615,2,,,
7616,2,1.0,3.0,0.0
7617,2,1.0,3.0,0.0
7618,1,3.0,,
7619,3,2.0,1.0,0.0
7620,3,,,
7621,2,1.0,0.0,3.0
7622,3,2.0,1.0,0.0
7623,3,0.0,1.0,2.0
7624,1,2.0,,
7625,2,1.0,3.0,0.0
7626,2,0.0,,
7627,2,,,
7747,3,2.0,1.0,
7748,3,2.0,,
7750,3,,,
7751,2,3.0,0.0,1.0
7827,2,,,
7828,3,1.0,0.0,2.0
7829,0,2.0,3.0,1.0
7830,3,1.0,0.0,2.0
7831,3,2.0,,
7833,2,3.0,0.0,1.0
7834,3,,,
7835,3,2.0,1.0,0.0
7836,3,0.0,2.0,
7837,1,,,
7838,2,,,
7839,3,2.0,,
7840,2,,,
7841,1,3.0,2.0,0.0
7842,2,3.0,1.0,
7843,2,3.0,,
7844,2,1.0,3.0,0.0
7845,2,,,
8316,3,,,
8317,2,0.0,1.0,3.0
8318,3,0.0,2.0,1.0
8577,2,,,
8578,2,,,
8579,2,0.0,1.0,3.0
8581,2,3.0,0.0,
8582,3,2.0,,
8583,2,3.0,0.0,1.0
8584,2,3.0,0.0,1.0
8585,3,2.0,0.0,1.0
8586,2,3.0,0.0,1.0
8587,2,0.0,3.0,
8588,3,,,
8589,3,,,
8591,3,2.0,0.0,1.0
8592,2,,,
8593,0,,,
8594,2,0.0,1.0,
8595,2,,,
8596,0,,,
8597,2,,,
8598,0,,,
8599,2,1.0,0.0,3.0
8600,0,3.0,1.0,2.0
8601,2,,,
8844,3,,,
8845,2,,,
8846,3,1.0,0.0,2.0
8847,2,,,
8848,1,,,
8849,2,,,
8850,3,2.0,0.0,1.0
8851,1,0.0,2.0,3.0
