,0,1,2,3,4,5,6,7,8,9,10,11
1,Write-In cells: 254,,,,,,,,,,,
2,Overvote cells: 231,,,,,,,,,,,
3,Luis Tejada: 0,,,,,,,,,,,
4,Carmen R. Quinones: 1,,,,,,,,,,,
5,Stacy R. Lynch: 2,,,,,,,,,,,
6,Keith L. Harris: 3,,,,,,,,,,,
7,Maria Ordonez: 4,,,,,,,,,,,
8,Daniel M. Cohen: 5,,,,,,,,,,,
9,Raymond Sanchez Jr.: 6,,,,,,,,,,,
10,Miguel Estrella: 7,,,,,,,,,,,
11,Corey Ortega: 8,,,,,,,,,,,
12,Shaun Abreu: 9,,,,,,,,,,,
13,Lena Melendez: 10,,,,,,,,,,,
14,Marti Gould  Allen-Cummings: 11,,,,,,,,,,,
16539,0,,,,,,,,,,,
16540,0,,,,,,,,,,,
16541,0,,,,,,,,,,,
16542,0,,,,,,,,,,,
16543,9,8.0,11.0,0.0,,,,,,,,
16544,6,1.0,0.0,9.0,7.0,,,,,,,
16545,10,8.0,0.0,6.0,7.0,,,,,,,
16546,11,5.0,,,,,,,,,,
16547,9,8.0,11.0,3.0,0.0,,,,,,,
16568,4,11.0,,,,,,,,,,
16569,0,,,,,,,,,,,
16570,0,,,,,,,,,,,
16571,4,9.0,10.0,3.0,8.0,,,,,,,
16572,8,,,,,,,,,,,
16573,0,8.0,7.0,1.0,4.0,,,,,,,
16574,0,8.0,7.0,1.0,4.0,,,,,,,
16575,2,3.0,,,,,,,,,,
16576,0,,,,,,,,,,,
16577,2,3.0,,,,,,,,,,
16578,3,9.0,,,,,,,,,,
16579,9,0.0,7.0,4.0,,,,,,,,
16580,11,4.0,9.0,,,,,,,,,
16581,11,9.0,,,,,,,,,,
16582,9,2.0,11.0,4.0,5.0,,,,,,,
16583,4,5.0,11.0,8.0,,,,,,,,
16584,0,,,,,,,,,,,
16585,3,9.0,,,,,,,,,,
16586,0,,,,,,,,,,,
16587,11,4.0,2.0,9.0,,,,,,,,
16645,9,3.0,5.0,11.0,2.0,,,,,,,
16646,5,9.0,4.0,2.0,10.0,,,,,,,
16647,0,,,,,,,,,,,
16648,9,5.0,,,,,,,,,,
16649,2,,,,,,,,,,,
16650,2,9.0,0.0,,,,,,,,,
16651,5,9.0,,,,,,,,,,
16652,9,3.0,1.0,5.0,2.0,,,,,,,
16653,3,4.0,5.0,,,,,,,,,
16655,6,,,,,,,,,,,
16656,9,4.0,5.0,2.0,0.0,,,,,,,
16657,4,11.0,,,,,,,,,,
16658,5,,,,,,,,,,,
16659,4,9.0,11.0,5.0,0.0,,,,,,,
16660,9,1.0,10.0,2.0,4.0,,,,,,,
16661,4,5.0,2.0,,,,,,,,,
16662,9,5.0,3.0,,,,,,,,,
16663,5,11.0,0.0,8.0,9.0,,,,,,,
16664,8,9.0,2.0,3.0,0.0,,,,,,,
16665,2,1.0,5.0,8.0,4.0,,,,,,,
16666,5,2.0,6.0,9.0,11.0,,,,,,,
16667,5,,,,,,,,,,,
16668,9,6.0,2.0,3.0,0.0,,,,,,,
16670,3,4.0,5.0,,,,,,,,,
16671,9,7.0,4.0,8.0,1.0,,,,,,,
16672,2,1.0,5.0,8.0,4.0,,,,,,,
16674,9,5.0,,,,,,,,,,
16675,9,5.0,11.0,2.0,1.0,,,,,,,
16676,6,9.0,2.0,3.0,0.0,,,,,,,
16677,4,,,,,,,,,,,
16678,5,6.0,8.0,9.0,,,,,,,,
16679,9,4.0,5.0,,,,,,,,,
16680,11,2.0,4.0,1.0,9.0,,,,,,,
16682,9,3.0,2.0,0.0,4.0,,,,,,,
16683,9,0.0,8.0,3.0,2.0,,,,,,,
16684,4,2.0,0.0,3.0,,,,,,,,
16685,5,,,,,,,,,,,
16686,9,,,,,,,,,,,
16687,9,5.0,11.0,0.0,,,,,,,,
16688,1,,,,,,,,,,,
16689,9,5.0,2.0,11.0,,,,,,,,
16691,2,8.0,11.0,5.0,9.0,,,,,,,
16692,5,9.0,2.0,3.0,11.0,,,,,,,
16694,5,9.0,11.0,2.0,8.0,,,,,,,
16695,2,,,,,,,,,,,
16696,2,9.0,,,,,,,,,,
16697,2,5.0,3.0,9.0,,,,,,,,
16698,11,1.0,9.0,,,,,,,,,
16699,5,11.0,9.0,0.0,8.0,,,,,,,
16700,2,9.0,4.0,,,,,,,,,
16701,5,4.0,10.0,1.0,9.0,,,,,,,
16702,9,,,,,,,,,,,
16704,11,9.0,8.0,4.0,5.0,,,,,,,
16705,9,7.0,6.0,11.0,5.0,,,,,,,
16706,2,,,,,,,,,,,
16707,7,,,,,,,,,,,
16708,0,,,,,,,,,,,
16709,0,,,,,,,,,,,
16710,0,,,,,,,,,,,
16711,2,,,,,,,,,,,
16712,2,8.0,0.0,5.0,3.0,,,,,,,
16713,0,,,,,,,,,,,
16715,11,9.0,8.0,4.0,5.0,,,,,,,
16717,9,11.0,2.0,4.0,0.0,,,,,,,
16718,11,9.0,5.0,2.0,,,,,,,,
16719,3,11.0,5.0,,,,,,,,,
