,0,1,2,3,4,5,6,7,8,9,10,11
1,Write-In cells: 158,,,,,,,,,,,
2,Overvote cells: 361,,,,,,,,,,,
3,Nantasha M. Williams: 0,,,,,,,,,,,
4,Marie M. Adam-Ovide: 1,,,,,,,,,,,
5,Harold C. Miller Jr.: 2,,,,,,,,,,,
6,Al-Hassan Kanu: 3,,,,,,,,,,,
7,Jason Myles Clark: 4,,,,,,,,,,,
8,Jermaine Sean Smith: 5,,,,,,,,,,,
9,James J. Johnson: 6,,,,,,,,,,,
10,Kerryanne C. Burke: 7,,,,,,,,,,,
11,Linda Guillebeaux: 8,,,,,,,,,,,
12,Anthony Rivers: 9,,,,,,,,,,,
13,Leroy Gadsden: 10,,,,,,,,,,,
14,Rene A. Hill: 11,,,,,,,,,,,
3092,0,1.0,2.0,3.0,4.0,,,,,,,
3093,5,0.0,3.0,6.0,7.0,,,,,,,
3094,3,,,,,,,,,,,
3095,3,0.0,8.0,1.0,9.0,,,,,,,
3096,3,0.0,8.0,1.0,9.0,,,,,,,
3097,3,10.0,6.0,5.0,9.0,,,,,,,
3098,2,0.0,1.0,7.0,3.0,,,,,,,
3099,3,9.0,0.0,4.0,11.0,,,,,,,
3100,3,10.0,6.0,5.0,9.0,,,,,,,
3503,0,,,,,,,,,,,
3504,7,0.0,8.0,,,,,,,,,
3505,9,0.0,6.0,3.0,4.0,,,,,,,
3506,0,6.0,5.0,7.0,1.0,,,,,,,
3507,0,4.0,5.0,6.0,2.0,,,,,,,
3508,0,6.0,7.0,8.0,10.0,,,,,,,
3509,0,4.0,5.0,6.0,3.0,,,,,,,
3510,0,4.0,5.0,6.0,2.0,,,,,,,
3511,0,7.0,3.0,2.0,1.0,,,,,,,
3512,6,3.0,1.0,0.0,7.0,,,,,,,
3513,6,7.0,0.0,,,,,,,,,
3514,0,3.0,1.0,7.0,6.0,,,,,,,
3515,0,3.0,1.0,7.0,6.0,,,,,,,
3516,8,5.0,0.0,10.0,11.0,,,,,,,
3517,2,,,,,,,,,,,
3524,5,3.0,7.0,4.0,1.0,,,,,,,
3525,3,6.0,7.0,1.0,0.0,,,,,,,
3526,3,6.0,1.0,7.0,0.0,,,,,,,
3527,7,,,,,,,,,,,
3528,0,2.0,9.0,8.0,11.0,,,,,,,
3529,0,2.0,9.0,8.0,11.0,,,,,,,
3530,2,,,,,,,,,,,
3531,7,2.0,3.0,,,,,,,,,
3532,3,2.0,0.0,11.0,6.0,,,,,,,
3533,3,,,,,,,,,,,
3534,2,,,,,,,,,,,
3927,7,4.0,0.0,,,,,,,,,
3928,11,0.0,4.0,6.0,5.0,,,,,,,
3929,1,3.0,8.0,2.0,11.0,,,,,,,
3930,4,0.0,11.0,6.0,10.0,,,,,,,
3931,4,0.0,9.0,6.0,3.0,,,,,,,
3932,4,11.0,6.0,2.0,3.0,,,,,,,
3933,0,11.0,3.0,6.0,9.0,,,,,,,
3934,7,10.0,,,,,,,,,,
3935,7,9.0,8.0,11.0,3.0,,,,,,,
3936,2,1.0,,,,,,,,,,
3937,0,,,,,,,,,,,
3938,3,11.0,0.0,1.0,5.0,,,,,,,
3939,7,4.0,0.0,,,,,,,,,
3940,7,4.0,10.0,6.0,0.0,,,,,,,
4532,11,4.0,5.0,6.0,2.0,,,,,,,
4533,9,5.0,8.0,0.0,11.0,,,,,,,
4534,7,10.0,2.0,1.0,0.0,,,,,,,
4535,8,1.0,,,,,,,,,,
4536,9,8.0,4.0,0.0,11.0,,,,,,,
6122,5,7.0,2.0,,,,,,,,,
6124,0,9.0,6.0,4.0,7.0,,,,,,,
6126,4,,,,,,,,,,,
